Agency,eventID,date,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,geometry
ISCGEM,2000000087,1926.904717,1926,11,27,5,19,27,124.81,11.42,15.0,6.3,POINT (13893785.645908473 1279770.4645072995)
ISCGEM,2000000169,1932.525542,1932,7,11,20,58,20,125.29,12.34,35.0,5.8,POINT (13947219.001489248 1384427.2472995736)
ISCGEM,2000000220,1935.392421,1935,5,24,5,36,40,124.94,12.09,45.0,6.8,POINT (13908257.179711599 1355952.7020149126)
PIVS,3000000147,1942.562372,1942,7,25,6,22,38,125.1,11.8,90.0,6.8,POINT (13926068.298238523 1322955.5151757807)
PIVS,3000000333,1964.174851,1964,3,5,4,5,8,125.4,11.7,106.0,5.2,POINT (13959464.145476507 1311585.307225945)
ISCBUL,300629704,1968.945278,1968,12,12,22,0,22,125.44,11.98,19.88,5.6,POINT (13963916.925108237 1343432.364110052)
PIVS,3000001746,1973.726089,1973,9,23,0,32,17,125.09,11.63,99.0,5.4,POINT (13924955.103330592 1303628.608700294)
ISCBUL,300879675,1975.638085,1975,8,21,21,37,31,125.09,11.64,100.0,5.1,POINT (13924955.103330592 1304765.15713963)
ISCBUL,300888678,1978.47904,1978,6,24,20,23,16,125.2,12.3,44.0,5.2,POINT (13937200.24731785 1379869.5080911645)
ISCBUL,300898000,1979.237893,1979,3,28,19,56,35,124.78,11.42,40.0,5.3,POINT (13890446.061184676 1279770.4645072995)
PIVS,3000003720,1979.547102,1979,7,19,16,36,37,124.76,11.95,41.0,3.8,POINT (13888219.671368811 1340018.6136504756)
PIVS,3000004083,1980.040547,1980,1,15,21,8,30,125.25,12.3,137.0,3.8,POINT (13942766.221857514 1379869.5080911645)
PIVS,3000004341,1980.322721,1980,4,28,10,31,34,124.89,11.66,169.0,3.4,POINT (13902691.205171935 1307038.376646629)
PIVS,3000004448,1980.442141,1980,6,11,6,22,25,124.96,11.77,3.0,3.0,POINT (13910483.569527464 1319544.0191171875)
PIVS,3000004739,1980.694413,1980,9,11,20,23,9,124.58,11.9,33.0,3.5,POINT (13868182.163026022 1334329.869670457)
PIVS,3000004881,1980.93073,1980,12,7,13,52,20,125.1,12.43,152.0,3.2,POINT (13926068.298238523 1394684.7095175837)
PIVS,3000005853,1982.202343,1982,3,15,20,31,17,124.79,12.27,33.0,3.0,POINT (13891559.256092608 1376451.6590677854)
PIVS,3000005956,1982.345359,1982,5,7,1,20,42,125.06,11.43,33.0,3.0,POINT (13921615.518606793 1280906.163476934)
PIVS,3000006204,1982.617336,1982,8,14,7,51,43,124.98,11.47,36.0,3.2,POINT (13912709.959343333 1285449.3604923305)
PIVS,3000006277,1982.713909,1982,9,18,13,50,40,124.96,11.67,33.0,3.4,POINT (13910483.569527464 1308175.047789426)
ISCBUL,301068985,1983.041952,1983,1,16,7,29,50,125.29,12.33,33.0,5.0,POINT (13947219.001489248 1383287.7473287273)
PIVS,3000006994,1983.281457,1983,4,13,17,33,46,125.06,11.98,72.0,3.4,POINT (13921615.518606793 1343432.364110052)
PIVS,3000007427,1983.579336,1983,7,31,10,58,53,125.0,11.54,33.0,3.1,POINT (13914936.349159198 1293401.5054129816)
PIVS,3000007842,1983.849729,1983,11,7,3,37,38,125.05,11.66,33.0,3.5,POINT (13920502.323698862 1307038.376646629)
PIVS,3000007995,1984.001825,1984,1,1,16,4,31,124.7,11.69,33.0,3.0,POINT (13881540.501921214 1310448.5130414972)
PIVS,3000008119,1984.179157,1984,3,6,18,0,50,125.07,11.84,42.0,3.0,POINT (13922728.713514727 1327504.7572786147)
ISCBUL,301161002,1984.551113,1984,7,21,6,12,11,124.88,12.27,74.42,5.4,POINT (13901578.010264002 1376451.6590677854)
PIVS,3000009292,1986.373901,1986,5,17,11,22,28,125.3,11.7,33.0,4.3,POINT (13948332.196397178 1311585.307225945)
PIVS,3000009432,1986.792649,1986,10,17,7,36,28,124.6,11.8,33.0,4.7,POINT (13870408.552841885 1322955.5151757807)
PIVS,3000010389,1989.022539,1989,1,9,5,26,20,125.19,11.89,33.0,3.8,POINT (13936087.052409917 1333192.24655257)
ISCBUL,300733762,1990.457054,1990,6,16,19,47,33,125.19,12.09,66.0,5.0,POINT (13936087.052409917 1355952.7020149126)
ISCBUL,301274891,1991.408931,1991,5,30,6,14,8,124.87,12.14,100.0,4.9,POINT (13900464.815356072 1361645.4640929557)
PIVS,3000012122,1991.704326,1991,9,15,1,53,36,125.1,11.78,12.0,5.1,POINT (13926068.298238523 1320681.1430674247)
PIVS,3000013182,1993.928684,1993,12,5,23,16,29,124.8,11.88,39.0,5.2,POINT (13892672.451000541 1332054.6652393385)
PIVS,3000013550,1994.680335,1994,9,6,7,43,59,125.12,11.59,19.0,4.2,POINT (13928294.688054388 1299082.8228277883)
ISCBUL,301415986,1995.301415,1995,4,21,0,23,49,125.02,11.55,35.0,5.0,POINT (13917162.738975063 1294537.6877693073)
ISCBUL,301321586,1995.301453,1995,4,21,0,43,55,124.89,11.95,66.0,5.2,POINT (13902691.205171935 1340018.6136504756)
PIVS,3000014453,1995.712211,1995,9,17,22,58,3,125.2,11.58,15.0,4.5,POINT (13937200.24731785 1297946.4781431684)
PIVS,3000014550,1995.943094,1995,12,11,5,30,0,125.01,11.75,4.0,4.3,POINT (13916049.54406713 1317269.89523635)
PIVS,3000014576,1996.008643,1996,1,4,4,7,25,124.62,11.59,41.0,4.8,POINT (13872634.942657754 1299082.8228277883)
PIVS,3000015398,1996.790444,1996,10,17,2,13,52,125.05,11.72,9.0,5.1,POINT (13920502.323698862 1313859.018899645)
PIVS,3000015772,1996.920181,1996,12,3,16,57,5,124.84,12.1,4.0,4.7,POINT (13897125.230632272 1357091.1691579984)
PIVS,3000015796,1996.95081,1996,12,14,22,43,54,124.76,11.44,38.0,4.4,POINT (13888219.671368811 1282041.9025228235)
PIVS,3000016412,1997.573808,1997,7,29,10,33,35,125.23,11.48,28.0,4.3,POINT (13940539.83204165 1286585.2602175798)
ISCBUL,1265194,1997.745691,1997,9,30,4,15,15,124.72,11.64,0.0,4.1,POINT (13883766.89173708 1304765.15713963)
PIVS,3000016804,1998.043828,1998,1,16,23,55,51,125.18,12.4,21.0,5.0,POINT (13934973.857501986 1391265.1621495977)
ISCBUL,301443310,1998.067469,1998,1,25,15,1,47,125.22,11.61,40.0,4.7,POINT (13939426.637133716 1301355.6342621646)
PIVS,3000017095,1998.391576,1998,5,23,22,12,21,124.8,11.68,6.0,4.3,POINT (13892672.451000541 1309311.759908521)
ISCBUL,301552168,1998.406334,1998,5,29,7,28,56,124.77,12.02,10.0,4.1,POINT (13889332.866276743 1347984.6215883584)
ISCBUL,301452431,1998.658384,1998,8,29,7,26,47,125.22,12.04,66.0,4.6,POINT (13939426.637133716 1350261.003950255)
PIVS,3000017657,1999.028076,1999,1,11,5,56,43,125.13,11.73,40.0,4.1,POINT (13929407.882962322 1314995.9364641097)
