Agency,eventID,date,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,geometry
PIVS,3000000168,1952.693395,1952,9,11,11,25,36,123.6,10.5,33.0,5.4,POINT (13759089.062048612 1175452.6085934301)
PIVS,3000002314,1975.890364,1975,11,21,23,35,27,123.38,10.59,13.0,4.0,POINT (13734598.774074094 1185643.4725071313)
PIVS,3000002427,1976.14767,1976,2,24,4,40,45,123.28,10.8,33.0,3.9,POINT (13723466.824994767 1209433.8422168817)
ISCBUL,300906672,1978.471089,1978,6,21,22,44,18,123.17,10.42,10.0,5.2,POINT (13711221.681007504 1166396.5540681488)
PIVS,3000004742,1980.704969,1980,9,15,17,22,9,123.1,10.67,50.0,3.4,POINT (13703429.316651976 1194704.530284309)
PIVS,3000004838,1980.876202,1980,11,17,13,35,15,123.84,10.95,33.0,3.5,POINT (13785805.739838999 1226437.1308461332)
PIVS,3000007144,1983.388647,1983,5,22,20,32,54,123.78,10.77,33.0,3.0,POINT (13779126.570391404 1206034.207229132)
PIVS,3000008237,1984.330102,1984,5,1,3,32,28,123.58,10.7,33.0,3.2,POINT (13756862.672232747 1198103.040560261)
PIVS,3000008493,1984.665162,1984,9,1,2,44,40,123.58,11.0,33.0,4.1,POINT (13756862.672232747 1232106.8018967598)
PIVS,3000009617,1987.217677,1987,3,21,10,51,16,123.1,10.9,80.0,4.9,POINT (13703429.316651976 1220768.4169744162)
PIVS,3000009644,1987.290548,1987,4,17,1,12,13,123.3,10.6,72.0,3.4,POINT (13725693.21481063 1186775.9750006357)
PIVS,3000009825,1987.79363,1987,10,17,16,12,3,123.5,10.6,30.0,4.2,POINT (13747957.112969287 1186775.9750006357)
PIVS,3000010539,1990.111107,1990,2,10,13,17,49,123.77,10.57,267.0,4.8,POINT (13778013.375483468 1183378.578346907)
PIVS,3000010655,1990.35361,1990,5,10,1,37,33,123.33,10.42,7.0,4.9,POINT (13729032.79953443 1166396.5540681488)
PIVS,3000011289,1990.794383,1990,10,17,22,47,31,123.22,10.28,54.0,4.4,POINT (13716787.655547168 1150554.0418263706)
PIVS,3000012187,1991.802137,1991,10,20,18,43,16,123.9,10.49,221.0,4.3,POINT (13792484.909286596 1174320.4739854818)
ISCBUL,301227610,1991.926233,1991,12,5,1,47,55,123.61,10.22,17.0,5.1,POINT (13760202.256956546 1143766.5483937112)
PIVS,3000012956,1993.361665,1993,5,13,0,11,2,123.51,10.29,62.0,4.3,POINT (13749070.307877218 1151685.4158636814)
PIVS,3000013809,1995.080096,1995,1,30,5,38,23,123.52,11.02,5.0,4.8,POINT (13750183.502785152 1234374.9393668887)
ISCBUL,1122229,1996.394994,1996,5,24,23,6,39,123.94,10.71,0.0,4.3,POINT (13796937.688918326 1199235.951991461)
ISCBUL,1268399,1997.770802,1997,10,9,8,13,39,123.86,10.81,0.0,4.3,POINT (13788032.129654866 1210567.1292920122)
PIVS,3000016632,1997.841509,1997,11,4,3,37,9,123.53,10.53,9.0,4.2,POINT (13751296.697693083 1178849.2323004256)
ISCBUL,1558049,1997.91932,1997,12,2,13,14,20,123.43,11.16,0.0,4.5,POINT (13740164.748613758 1250256.2356010065)
PIVS,3000018759,2000.37543,2000,5,17,18,46,59,123.81,10.92,12.0,5.3,POINT (13782466.155115202 1223035.7879585926)
ISCBUL,2537063,2000.777671,2000,10,12,9,43,33,123.78,10.39,1.0,5.0,POINT (13779126.570391404 1163001.134045003)
ISCBUL,3254734,2000.93056,2000,12,7,12,22,24,123.01,10.61,0.0,4.5,POINT (13693410.562480582 1187908.514485616)
ISCBUL,3455242,2001.522559,2001,7,10,17,37,0,123.46,10.96,1.0,4.6,POINT (13743504.333337555 1227570.988333442)
ISCBUL,3456664,2001.978607,2001,12,24,4,35,38,123.24,10.25,20.0,4.4,POINT (13719014.045363033 1147160.1344465264)
ISCBUL,4283598,2002.345172,2002,5,6,23,42,17,123.11,10.94,31.0,5.1,POINT (13704542.51155991 1225303.3116459686)
ISCBUL,301579091,2002.459628,2002,6,17,18,20,40,123.89,10.75,19.53,4.4,POINT (13791371.714378662 1203767.9720651004)
ISCBUL,4284036,2002.55991,2002,7,24,8,48,28,123.71,10.23,7.0,4.8,POINT (13771334.206035873 1144897.7081028307)
ISCBUL,5132779,2003.638129,2003,8,21,22,0,25,123.28,11.11,47.0,4.4,POINT (13723466.824994767 1244583.4703616202)
ISCBUL,5538873,2004.051408,2004,1,19,20,47,59,123.33,10.45,11.0,4.6,POINT (13729032.79953443 1169792.301042875)
ISCBUL,5539980,2004.315839,2004,4,25,21,54,46,123.27,10.48,1.0,4.6,POINT (13722353.630086832 1173188.3759632967)
ISCBUL,7416873,2005.309104,2005,4,23,19,45,6,123.88,10.97,1.0,4.3,POINT (13790258.51947073 1228704.8841450224)
ISCBUL,7417957,2005.485476,2005,6,27,4,46,20,123.72,10.32,1.0,4.3,POINT (13772447.400943805 1155079.7532219647)
ISCBUL,7418873,2005.633401,2005,8,20,4,35,48,123.28,10.94,1.0,4.5,POINT (13723466.824994767 1225303.3116459686)
ISCBUL,7420076,2005.828526,2005,10,30,9,53,6,123.6,10.41,35.0,4.5,POINT (13759089.062048612 1165264.7111148918)
ISCBUL,8184016,2006.816415,2006,10,25,23,47,28,123.14,10.94,11.0,5.1,POINT (13707882.096283708 1225303.3116459686)
ISCBUL,12156877,2008.145369,2008,2,23,8,24,35,123.41,10.46,22.0,4.9,POINT (13737938.358797893 1170924.289528833)
PIVS,3000026085,2008.584043,2008,8,2,8,15,11,123.09,10.87,7.0,5.2,POINT (13702316.121744044 1217367.6461674245)
ISCBUL,12161173,2008.823001,2008,10,29,0,59,45,123.79,10.34,9.0,5.0,POINT (13780239.765299337 1157342.824533574)
ISCBUL,13541519,2009.153122,2009,2,25,21,21,7,123.33,10.46,3.0,4.4,POINT (13729032.79953443 1170924.289528833)
PIVS,3000027562,2009.849353,2009,11,7,0,19,56,123.88,10.72,12.0,4.8,POINT (13790258.51947073 1200368.9008205587)
ISCBUL,13545552,2009.906134,2009,11,27,17,44,10,123.32,11.11,64.0,4.3,POINT (13727919.604626495 1244583.4703616202)
ISCBUL,13546026,2009.986351,2009,12,27,0,26,17,123.53,10.78,5.0,4.6,POINT (13751296.697693083 1207167.3812224693)
ISCBUL,17240860,2010.226321,2010,3,24,14,34,27,123.43,11.11,21.0,4.5,POINT (13740164.748613758 1244583.4703616202)
ISCBUL,17241070,2010.255775,2010,4,4,8,35,20,123.2,10.74,77.0,4.6,POINT (13714561.265731303 1202634.9108203864)
ISCBUL,16857378,2010.559384,2010,7,24,4,12,15,123.19,10.83,0.0,4.7,POINT (13713448.070823371 1212833.8167833046)
ISCBUL,17244583,2010.942923,2010,12,11,4,0,14,123.83,10.78,1.0,4.3,POINT (13784692.544931067 1207167.3812224693)
ISCBUL,17112486,2011.418505,2011,6,2,18,6,4,123.35,10.92,0.0,4.3,POINT (13731259.189350294 1223035.7879585926)
ISCBUL,604899260,2012.190207,2012,3,10,19,20,27,123.12,10.61,96.0,4.6,POINT (13705655.706467843 1187908.514485616)
ISCBUL,605418618,2012.614013,2012,8,13,8,13,49,123.47,10.65,43.0,4.7,POINT (13744617.528245488 1192439.0430787436)
ISCBUL,607729481,2013.047167,2013,1,18,5,11,1,123.41,10.7,75.0,4.5,POINT (13737938.358797893 1198103.040560261)
ISCBUL,607732313,2013.464832,2013,6,19,15,55,57,123.39,10.67,17.0,4.8,POINT (13735711.968982026 1194704.530284309)
ISCBUL,610330404,2014.177173,2014,3,6,16,2,1,123.82,10.59,15.0,4.2,POINT (13783579.350023134 1185643.4725071313)
ISCBUL,611762932,2014.621726,2014,8,15,22,19,8,123.76,10.56,12.65,4.6,POINT (13776900.180575538 1182246.1866063802)
ISCBUL,611783784,2015.622601,2015,8,16,5,59,11,123.89,10.52,33.0,4.5,POINT (13791371.714378662 1177716.9877140394)
ISCBUL,611786523,2015.900593,2015,11,25,17,11,55,123.58,10.45,10.0,4.5,POINT (13756862.672232747 1169792.301042875)
PIVS,3000038043,2016.215037,2016,3,19,22,2,43,123.45,10.64,7.0,4.2,POINT (13742391.138429623 1191306.3552586213)
ISCBUL,616069771,2016.417984,2016,6,2,9,36,23,123.58,10.67,21.0,4.4,POINT (13756862.672232747 1194704.530284309)
ISCBUL,616646115,2016.882978,2016,11,20,1,16,21,123.83,10.63,3.0,4.3,POINT (13784692.544931067 1190173.704577682)
ISCBUL,617754698,2017.215948,2017,3,20,19,42,1,123.73,10.45,19.73,4.7,POINT (13773560.59585174 1169792.301042875)
PIVS,3000040479,2017.510523,2017,7,6,8,10,44,123.87,10.66,15.0,4.1,POINT (13789145.324562797 1193571.76807499)
ISCBUL,619442838,2017.624204,2017,8,16,20,1,25,123.41,10.75,26.0,4.8,POINT (13737938.358797893 1203767.9720651004)
ISCBUL,618982020,2018.013851,2018,1,6,1,19,54,123.44,11.17,0.0,4.1,POINT (13741277.94352169 1251390.9057042312)
PIVS,3000042899,2018.873244,2018,11,15,17,36,52,123.51,10.34,4.0,4.4,POINT (13749070.307877218 1157342.824533574)
ISCBUL,619092707,2018.980542,2018,12,24,21,32,54,123.76,10.96,0.0,4.1,POINT (13776900.180575538 1227570.988333442)
ISCBUL,619164933,2019.677913,2019,9,5,10,31,18,123.48,10.92,0.0,4.2,POINT (13745730.72315342 1223035.7879585926)
ISCBUL,624348909,2020.447047,2020,6,13,1,35,22,123.93,10.86,3.57,4.1,POINT (13795824.494010393 1216234.1319285545)
ISCBUL,624349960,2020.471884,2020,6,22,4,21,26,123.1,10.43,13.56,4.8,POINT (13703429.316651976 1167528.433349355)
ISCBUL,627549890,2021.139975,2021,2,21,2,10,37,123.06,10.46,11.0,4.2,POINT (13698976.537020246 1170924.289528833)
