Agency,eventID,date,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,geometry
ISCGEM,2000000072,1925.869427,1925,11,14,8,10,55,125.43,12.31,35.0,6.1,POINT (13962803.730200306 1381008.877762543)
ISCGEM,2000000169,1932.525542,1932,7,11,20,58,20,125.29,12.34,35.0,5.8,POINT (13947219.001489248 1384427.2472995736)
ISCGEM,2000000220,1935.392421,1935,5,24,5,36,40,124.94,12.09,45.0,6.8,POINT (13908257.179711599 1355952.7020149126)
PIVS,3000000112,1935.399779,1935,5,26,22,3,46,125.5,11.7,33.0,6.3,POINT (13970596.094555834 1311585.307225945)
PIVS,3000000147,1942.562372,1942,7,25,6,22,38,125.1,11.8,90.0,6.8,POINT (13926068.298238523 1322955.5151757807)
ISCGEM,2000000337,1951.84237,1951,11,4,11,9,46,125.63,11.79,25.0,6.3,POINT (13985067.628358958 1321818.3084077372)
PIVS,3000000333,1964.174851,1964,3,5,4,5,8,125.4,11.7,106.0,5.2,POINT (13959464.145476507 1311585.307225945)
ISCBUL,300629704,1968.945278,1968,12,12,22,0,22,125.44,11.98,19.88,5.6,POINT (13963916.925108237 1343432.364110052)
ISCGEM,2000000634,1973.502176,1973,7,3,7,3,46,125.43,12.27,30.0,6.5,POINT (13962803.730200306 1376451.6590677854)
PIVS,3000001746,1973.726089,1973,9,23,0,32,17,125.09,11.63,99.0,5.4,POINT (13924955.103330592 1303628.608700294)
ISCBUL,300879675,1975.638085,1975,8,21,21,37,31,125.09,11.64,100.0,5.1,POINT (13924955.103330592 1304765.15713963)
ISCBUL,300850786,1976.309233,1976,4,23,11,43,42,125.42,12.27,33.0,5.3,POINT (13961690.535292372 1376451.6590677854)
ISCGEM,2000000767,1977.904376,1977,11,27,2,19,52,125.68,11.83,27.1,6.0,POINT (13990633.602898624 1326367.3844229558)
ISCBUL,300888678,1978.47904,1978,6,24,20,23,16,125.2,12.3,44.0,5.2,POINT (13937200.24731785 1379869.5080911645)
PIVS,3000004083,1980.040547,1980,1,15,21,8,30,125.25,12.3,137.0,3.8,POINT (13942766.221857514 1379869.5080911645)
PIVS,3000004341,1980.322721,1980,4,28,10,31,34,124.89,11.66,169.0,3.4,POINT (13902691.205171935 1307038.376646629)
PIVS,3000004448,1980.442141,1980,6,11,6,22,25,124.96,11.77,3.0,3.0,POINT (13910483.569527464 1319544.0191171875)
ISCGEM,2000000861,1980.817536,1980,10,27,0,51,34,125.54,11.73,33.8,6.4,POINT (13975048.874187564 1314995.9364641097)
PIVS,3000006277,1982.713909,1982,9,18,13,50,40,124.96,11.67,33.0,3.4,POINT (13910483.569527464 1308175.047789426)
ISCBUL,301068985,1983.041952,1983,1,16,7,29,50,125.29,12.33,33.0,5.0,POINT (13947219.001489248 1383287.7473287273)
PIVS,3000006994,1983.281457,1983,4,13,17,33,46,125.06,11.98,72.0,3.4,POINT (13921615.518606793 1343432.364110052)
PIVS,3000007427,1983.579336,1983,7,31,10,58,53,125.0,11.54,33.0,3.1,POINT (13914936.349159198 1293401.5054129816)
PIVS,3000007842,1983.849729,1983,11,7,3,37,38,125.05,11.66,33.0,3.5,POINT (13920502.323698862 1307038.376646629)
PIVS,3000008119,1984.179157,1984,3,6,18,0,50,125.07,11.84,42.0,3.0,POINT (13922728.713514727 1327504.7572786147)
ISCBUL,301160530,1984.466636,1984,6,20,6,7,54,125.7,11.81,41.21,5.9,POINT (13992859.992714487 1324092.7634092178)
PIVS,3000009292,1986.373901,1986,5,17,11,22,28,125.3,11.7,33.0,4.3,POINT (13948332.196397178 1311585.307225945)
PIVS,3000010389,1989.022539,1989,1,9,5,26,20,125.19,11.89,33.0,3.8,POINT (13936087.052409917 1333192.24655257)
ISCBUL,300733762,1990.457054,1990,6,16,19,47,33,125.19,12.09,66.0,5.0,POINT (13936087.052409917 1355952.7020149126)
PIVS,3000011249,1990.754115,1990,10,3,6,2,57,125.38,11.57,33.0,5.3,POINT (13957237.755660638 1296810.1740968921)
ISCBUL,301274891,1991.408931,1991,5,30,6,14,8,124.87,12.14,100.0,4.9,POINT (13900464.815356072 1361645.4640929557)
PIVS,3000012122,1991.704326,1991,9,15,1,53,36,125.1,11.78,12.0,5.1,POINT (13926068.298238523 1320681.1430674247)
ISCBUL,301233828,1992.383796,1992,5,20,20,28,14,125.65,11.86,36.0,5.1,POINT (13987294.018174823 1329779.6278759574)
PIVS,3000013182,1993.928684,1993,12,5,23,16,29,124.8,11.88,39.0,5.2,POINT (13892672.451000541 1332054.6652393385)
PIVS,3000013550,1994.680335,1994,9,6,7,43,59,125.12,11.59,19.0,4.2,POINT (13928294.688054388 1299082.8228277883)
ISCBUL,301415986,1995.301415,1995,4,21,0,23,49,125.02,11.55,35.0,5.0,POINT (13917162.738975063 1294537.6877693073)
PIVS,3000013960,1995.301436,1995,4,21,0,34,48,125.6,12.2,17.0,7.3,POINT (13981728.04363516 1368478.189751179)
ISCBUL,301321586,1995.301453,1995,4,21,0,43,55,124.89,11.95,66.0,5.2,POINT (13902691.205171935 1340018.6136504756)
PIVS,3000014453,1995.712211,1995,9,17,22,58,3,125.2,11.58,15.0,4.5,POINT (13937200.24731785 1297946.4781431684)
PIVS,3000014550,1995.943094,1995,12,11,5,30,0,125.01,11.75,4.0,4.3,POINT (13916049.54406713 1317269.89523635)
PIVS,3000015398,1996.790444,1996,10,17,2,13,52,125.05,11.72,9.0,5.1,POINT (13920502.323698862 1313859.018899645)
PIVS,3000015772,1996.920181,1996,12,3,16,57,5,124.84,12.1,4.0,4.7,POINT (13897125.230632272 1357091.1691579984)
PIVS,3000016412,1997.573808,1997,7,29,10,33,35,125.23,11.48,28.0,4.3,POINT (13940539.83204165 1286585.2602175798)
ISCBUL,301443310,1998.067469,1998,1,25,15,1,47,125.22,11.61,40.0,4.7,POINT (13939426.637133716 1301355.6342621646)
ISCBUL,301452431,1998.658384,1998,8,29,7,26,47,125.22,12.04,66.0,4.6,POINT (13939426.637133716 1350261.003950255)
PIVS,3000017657,1999.028076,1999,1,11,5,56,43,125.13,11.73,40.0,4.1,POINT (13929407.882962322 1314995.9364641097)
ISCBUL,301481987,1999.319829,1999,4,27,17,41,56,125.4,11.88,36.0,4.7,POINT (13959464.145476507 1332054.6652393385)
ISCBUL,301502858,2000.324233,2000,4,28,23,50,31,125.46,11.91,36.0,4.7,POINT (13966143.314924102 1335467.5346307282)
PIVS,3000019289,2001.006131,2001,1,3,5,42,40,125.51,12.27,4.0,4.6,POINT (13971709.289463766 1376451.6590677854)
PIVS,3000019480,2001.139448,2001,2,20,21,34,0,124.91,11.59,22.0,5.2,POINT (13904917.5949878 1299082.8228277883)
ISCBUL,3264367,2001.170464,2001,3,4,5,15,41,125.02,11.96,0.0,4.0,POINT (13917162.738975063 1341156.4883888415)
ISCBUL,4283358,2002.262058,2002,4,6,15,37,52,125.33,11.58,49.0,4.9,POINT (13951671.781120975 1297946.4781431684)
ISCBUL,5219178,2003.448022,2003,6,13,12,40,26,124.87,12.18,0.0,4.1,POINT (13900464.815356072 1366200.4430266703)
PIVS,3000021344,2003.88142,2003,11,18,17,14,22,125.58,12.19,38.0,6.6,POINT (13979501.653819295 1367339.2949191858)
ISCBUL,5539671,2004.229397,2004,3,25,4,31,47,125.17,11.71,27.0,4.4,POINT (13933860.662594052 1312722.1424994597)
ISCBUL,5540148,2004.356316,2004,5,10,18,25,40,124.99,12.05,20.0,4.0,POINT (13913823.154251263 1351399.2586692423)
ISCBUL,7417017,2005.339226,2005,5,4,19,37,15,125.52,11.62,22.0,4.8,POINT (13972822.4843717 1302492.101086989)
ISCBUL,7417197,2005.36458,2005,5,14,1,43,10,124.92,12.05,79.0,4.5,POINT (13906030.789895736 1351399.2586692423)
ISCBUL,7420073,2005.828469,2005,10,30,9,23,27,125.36,11.64,11.0,4.5,POINT (13955011.365844777 1304765.15713963)
ISCBUL,8179667,2006.108403,2006,2,9,13,36,52,125.41,11.6,7.0,4.3,POINT (13960577.340384439 1300219.208188277)
PIVS,3000023363,2006.156783,2006,2,27,5,25,9,124.86,12.07,1.0,5.0,POINT (13899351.620448137 1353675.8953724483)
ISCBUL,8181054,2006.311881,2006,4,24,20,4,40,125.06,11.54,1.0,4.0,POINT (13921615.518606793 1293401.5054129816)
PIVS,3000023848,2006.680063,2006,9,6,5,21,6,125.29,12.01,12.0,5.0,POINT (13947219.001489248 1346846.4938698087)
ISCBUL,10364010,2007.228457,2007,3,25,9,16,47,125.41,11.87,29.0,4.9,POINT (13960577.340384439 1330917.1256930395)
ISCBUL,10367817,2007.868327,2007,11,13,22,32,41,125.29,11.8,1.0,4.8,POINT (13947219.001489248 1322955.5151757807)
PIVS,3000025493,2008.245838,2008,3,31,5,20,34,125.48,11.81,14.0,4.8,POINT (13968369.704739967 1324092.7634092178)
PIVS,3000026517,2008.913411,2008,12,1,5,19,26,125.05,11.6,80.0,4.8,POINT (13920502.323698862 1300219.208188277)
ISCBUL,13541453,2009.14097,2009,2,21,10,53,46,125.14,12.22,74.0,4.6,POINT (13930521.077870255 1370756.1083853391)
ISCBUL,13542348,2009.309141,2009,4,23,20,4,34,125.28,11.83,32.0,4.8,POINT (13946105.806581313 1326367.3844229558)
ISCBUL,13542981,2009.446269,2009,6,12,21,19,7,124.94,11.93,68.0,4.7,POINT (13908257.179711599 1337742.990229374)
