Agency,eventID,date,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,geometry
PIVS,3000000168,1952.693395,1952,9,11,11,25,36,123.6,10.5,33.0,5.4,POINT (13759089.062048612 1175452.6085934301)
PIVS,3000000188,1956.070077,1956,1,26,17,14,31,124.0,10.0,33.0,5.4,POINT (13803616.858365921 1118889.9748579594)
ISCBUL,300833820,1974.361894,1974,5,13,2,11,32,124.08,10.05,596.98,5.6,POINT (13812522.417629384 1124542.2491251284)
PIVS,3000002250,1975.860018,1975,11,10,21,45,23,124.1,10.57,33.0,4.1,POINT (13814748.807445249 1183378.578346907)
PIVS,3000002314,1975.890364,1975,11,21,23,35,27,123.38,10.59,13.0,4.0,POINT (13734598.774074094 1185643.4725071313)
PIVS,3000002850,1977.724187,1977,9,22,7,52,48,124.17,10.39,33.0,3.3,POINT (13822541.171800781 1163001.134045003)
PIVS,3000004838,1980.876202,1980,11,17,13,35,15,123.84,10.95,33.0,3.5,POINT (13785805.739838999 1226437.1308461332)
PIVS,3000005269,1981.506717,1981,7,4,22,50,25,124.31,10.77,42.0,4.1,POINT (13838125.900511838 1206034.207229132)
ISCGEM,2000000890,1981.675257,1981,9,4,11,15,13,123.92,9.99,635.0,6.6,POINT (13794711.299102461 1117759.6245115898)
PIVS,3000006857,1983.190582,1983,3,11,13,30,3,123.32,10.06,33.0,3.6,POINT (13727919.604626495 1125672.8087417413)
PIVS,3000007144,1983.388647,1983,5,22,20,32,54,123.78,10.77,33.0,3.0,POINT (13779126.570391404 1206034.207229132)
PIVS,3000008237,1984.330102,1984,5,1,3,32,28,123.58,10.7,33.0,3.2,POINT (13756862.672232747 1198103.040560261)
PIVS,3000009098,1985.807097,1985,10,22,14,10,2,124.3,10.4,77.0,4.0,POINT (13837012.705603905 1164132.9044527772)
PIVS,3000009500,1987.000842,1987,1,1,7,22,37,123.99,10.95,33.0,4.5,POINT (13802503.66345799 1226437.1308461332)
PIVS,3000009680,1987.374174,1987,5,17,13,45,40,123.6,10.0,33.0,4.4,POINT (13759089.062048612 1118889.9748579594)
PIVS,3000009825,1987.79363,1987,10,17,16,12,3,123.5,10.6,30.0,4.2,POINT (13747957.112969287 1186775.9750006357)
PIVS,3000010539,1990.111107,1990,2,10,13,17,49,123.77,10.57,267.0,4.8,POINT (13778013.375483468 1183378.578346907)
PIVS,3000010637,1990.330799,1990,5,1,17,47,44,123.76,10.17,144.0,4.3,POINT (13776900.180575538 1138111.2830075924)
PIVS,3000010655,1990.35361,1990,5,10,1,37,33,123.33,10.42,7.0,4.9,POINT (13729032.79953443 1166396.5540681488)
PIVS,3000011458,1991.009022,1991,1,4,7,1,55,124.11,10.67,11.0,5.1,POINT (13815862.002353182 1194704.530284309)
PIVS,3000011636,1991.245648,1991,3,31,15,52,51,123.87,10.3,27.0,4.4,POINT (13789145.324562797 1152816.82575089)
PIVS,3000012184,1991.801693,1991,10,20,14,49,44,124.26,10.29,208.0,4.9,POINT (13832559.925972175 1151685.4158636814)
PIVS,3000012187,1991.802137,1991,10,20,18,43,16,123.9,10.49,221.0,4.3,POINT (13792484.909286596 1174320.4739854818)
ISCBUL,301227610,1991.926233,1991,12,5,1,47,55,123.61,10.22,17.0,5.1,POINT (13760202.256956546 1143766.5483937112)
PIVS,3000012307,1991.948367,1991,12,13,3,41,47,123.96,10.8,16.0,4.1,POINT (13799164.078734191 1209433.8422168817)
ISCBUL,301233755,1992.376245,1992,5,18,1,57,55,124.08,10.18,242.0,4.9,POINT (13812522.417629384 1139242.26511917)
PIVS,3000012722,1992.761191,1992,10,6,8,34,26,124.21,10.5,37.0,4.2,POINT (13826993.951432507 1175452.6085934301)
PIVS,3000012956,1993.361665,1993,5,13,0,11,2,123.51,10.29,62.0,4.3,POINT (13749070.307877218 1151685.4158636814)
ISCBUL,147049,1995.594147,1995,8,5,20,43,25,124.07,10.81,0.0,4.9,POINT (13811409.22272145 1210567.1292920122)
ISCBUL,1122229,1996.394994,1996,5,24,23,6,39,123.94,10.71,0.0,4.3,POINT (13796937.688918326 1199235.951991461)
PIVS,3000014791,1996.402295,1996,5,27,15,24,43,124.1,9.98,3.0,5.8,POINT (13814748.807445249 1116629.3089155625)
ISCBUL,301375084,1997.278458,1997,4,12,15,17,35,123.55,10.05,17.0,4.6,POINT (13753523.087508949 1124542.2491251284)
PIVS,3000016303,1997.471579,1997,6,22,3,1,39,123.92,10.42,3.0,4.3,POINT (13794711.299102461 1166396.5540681488)
PIVS,3000016564,1997.754514,1997,10,3,9,32,25,123.97,10.03,6.0,4.8,POINT (13800277.273642125 1122281.2347648616)
ISCBUL,1268399,1997.770802,1997,10,9,8,13,39,123.86,10.81,0.0,4.3,POINT (13788032.129654866 1210567.1292920122)
PIVS,3000016632,1997.841509,1997,11,4,3,37,9,123.53,10.53,9.0,4.2,POINT (13751296.697693083 1178849.2323004256)
PIVS,3000017116,1998.401369,1998,5,27,11,59,31,123.95,10.02,3.0,4.8,POINT (13798050.88382626 1121150.7799480155)
PIVS,3000017160,1998.447274,1998,6,13,6,7,18,123.97,10.82,4.0,4.2,POINT (13800277.273642125 1211700.4541351388)
ISCBUL,1907528,1998.757991,1998,10,4,16,0,11,124.13,10.07,3.0,4.3,POINT (13818088.392169047 1126803.4033648113)
ISCBUL,301491469,1999.996509,1999,12,30,17,25,6,123.62,10.04,17.0,4.3,POINT (13761315.451864477 1123411.7244783677)
PIVS,3000018759,2000.37543,2000,5,17,18,46,59,123.81,10.92,12.0,5.3,POINT (13782466.155115202 1223035.7879585926)
ISCBUL,2537063,2000.777671,2000,10,12,9,43,33,123.78,10.39,1.0,5.0,POINT (13779126.570391404 1163001.134045003)
ISCBUL,3455287,2001.544281,2001,7,18,15,54,10,123.95,10.36,8.0,4.6,POINT (13798050.88382626 1159606.0399797896)
ISCBUL,3455446,2001.589093,2001,8,4,0,27,12,124.17,10.68,7.0,4.4,POINT (13822541.171800781 1195837.329743653)
ISCBUL,3456664,2001.978607,2001,12,24,4,35,38,123.24,10.25,20.0,4.4,POINT (13719014.045363033 1147160.1344465264)
ISCBUL,301579091,2002.459628,2002,6,17,18,20,40,123.89,10.75,19.53,4.4,POINT (13791371.714378662 1203767.9720651004)
ISCBUL,4284036,2002.55991,2002,7,24,8,48,28,123.71,10.23,7.0,4.8,POINT (13771334.206035873 1144897.7081028307)
PIVS,3000020975,2003.327967,2003,4,30,16,59,36,124.04,10.87,4.0,4.3,POINT (13808069.637997655 1217367.6461674245)
ISCBUL,5133523,2003.897791,2003,11,24,16,39,7,124.24,10.49,1.0,4.4,POINT (13830333.53615631 1174320.4739854818)
ISCBUL,5538873,2004.051408,2004,1,19,20,47,59,123.33,10.45,11.0,4.6,POINT (13729032.79953443 1169792.301042875)
PIVS,3000021761,2004.382226,2004,5,20,6,38,32,123.98,10.01,5.0,5.6,POINT (13801390.468550056 1120020.3599912424)
ISCBUL,6868125,2005.149645,2005,2,24,14,53,27,124.23,10.43,0.0,4.5,POINT (13829220.341248376 1167528.433349355)
ISCBUL,7417957,2005.485476,2005,6,27,4,46,20,123.72,10.32,1.0,4.3,POINT (13772447.400943805 1155079.7532219647)
ISCBUL,7418392,2005.558332,2005,7,23,18,59,23,123.72,9.94,26.0,4.8,POINT (13772447.400943805 1112108.3933036383)
