Agency,eventID,date,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,geometry
PIVS,3000000472,1965.769165,1965,10,8,17,53,5,124.0,11.0,85.0,4.9,POINT (13803616.858365921 1232106.8018967598)
PIVS,3000002338,1975.922122,1975,12,3,13,47,27,124.16,11.14,33.0,3.8,POINT (13821427.976892846 1247987.012561637)
PIVS,3000002388,1976.072173,1976,1,27,11,42,1,123.87,11.62,33.0,4.0,POINT (13789145.324562797 1302492.101086989)
PIVS,3000003343,1978.71004,1978,9,17,3,57,15,124.1,11.44,12.0,3.0,POINT (13814748.807445249 1282041.9025228235)
PIVS,3000003722,1979.548838,1979,7,20,7,49,21,124.0,11.32,64.0,3.0,POINT (13803616.858365921 1268415.6707754876)
PIVS,3000003888,1979.86003,1979,11,10,21,51,35,124.0,11.44,33.0,3.1,POINT (13803616.858365921 1282041.9025228235)
PIVS,3000004838,1980.876202,1980,11,17,13,35,15,123.84,10.95,33.0,3.5,POINT (13785805.739838999 1226437.1308461332)
PIVS,3000004854,1980.896309,1980,11,24,22,41,8,124.01,11.41,33.0,3.4,POINT (13804730.053273855 1278634.8055764982)
PIVS,3000005206,1981.417802,1981,6,2,11,56,35,124.04,11.49,36.0,3.8,POINT (13808069.637997655 1287721.200206286)
PIVS,3000005918,1982.311508,1982,4,24,16,48,33,124.21,11.59,166.0,3.4,POINT (13826993.951432507 1299082.8228277883)
ISCBUL,709563,1982.577063,1982,7,30,15,4,25,124.38,11.34,0.0,3.0,POINT (13845918.264867367 1270686.311006206)
PIVS,3000006632,1983.021904,1983,1,8,23,52,35,124.01,11.29,33.0,3.0,POINT (13804730.053273855 1265010.0078233476)
PIVS,3000007022,1983.297219,1983,4,19,11,38,13,124.32,11.17,50.0,3.2,POINT (13839239.09541977 1251390.9057042312)
PIVS,3000007143,1983.386641,1983,5,22,2,58,37,124.25,11.3,220.0,3.6,POINT (13831446.731064241 1266145.1892046686)
PIVS,3000007144,1983.388647,1983,5,22,20,32,54,123.78,10.77,33.0,3.0,POINT (13779126.570391404 1206034.207229132)
PIVS,3000008367,1984.470522,1984,6,21,16,21,28,123.89,11.64,41.0,3.5,POINT (13791371.714378662 1304765.15713963)
PIVS,3000008458,1984.626512,1984,8,17,22,19,4,124.24,11.01,33.0,4.1,POINT (13830333.53615631 1233240.8513768238)
PIVS,3000008722,1984.980805,1984,12,25,22,55,54,123.92,11.38,33.0,3.2,POINT (13794711.299102461 1275228.068642983)
PIVS,3000009095,1985.799653,1985,10,19,20,57,37,124.2,11.3,42.0,4.3,POINT (13825880.756524578 1266145.1892046686)
PIVS,3000009136,1985.86989,1985,11,14,12,14,19,123.9,11.4,33.0,3.5,POINT (13792484.909286596 1277499.1866471162)
PIVS,3000009500,1987.000842,1987,1,1,7,22,37,123.99,10.95,33.0,4.5,POINT (13802503.66345799 1226437.1308461332)
