Agency,eventID,date,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,geometry
PIVS,3000000038,1926.82897,1926,10,30,13,46,33,124.5,9.5,520.0,6.3,POINT (13859276.603762558 1062414.3112675361)
ISCGEM,2000000221,1936.314732,1936,4,25,12,9,36,124.71,9.66,25.0,5.6,POINT (13882653.696829148 1080477.3394657986)
PIVS,3000000141,1941.094755,1941,2,4,14,3,18,124.5,10.0,33.0,6.9,POINT (13859276.603762558 1118889.9748579594)
PIVS,3000000188,1956.070077,1956,1,26,17,14,31,124.0,10.0,33.0,5.4,POINT (13803616.858365921 1118889.9748579594)
ISCBUL,300796410,1965.345165,1965,5,6,23,38,39,124.1,9.59,539.0,5.3,POINT (13814748.807445249 1072573.7166959725)
ISCGEM,2000000635,1973.720174,1973,9,20,20,43,40,123.97,9.18,556.7,6.5,POINT (13800277.273642125 1026313.4234927299)
ISCBUL,300833820,1974.361894,1974,5,13,2,11,32,124.08,10.05,596.98,5.6,POINT (13812522.417629384 1124542.2491251284)
PIVS,3000002508,1976.546898,1976,7,19,17,4,42,124.05,9.44,33.0,4.2,POINT (13809182.832905585 1055642.859373037)
PIVS,3000005093,1981.216073,1981,3,20,20,47,48,124.56,9.67,33.0,3.2,POINT (13865955.773210157 1081606.5623279861)
ISCGEM,2000000890,1981.675257,1981,9,4,11,15,13,123.92,9.99,635.0,6.6,POINT (13794711.299102461 1117759.6245115898)
PIVS,3000006286,1982.727657,1982,9,23,14,16,28,124.34,9.6,280.0,3.6,POINT (13841465.485235635 1073702.705496413)
PIVS,3000007060,1983.322109,1983,4,28,13,40,45,124.45,9.72,63.0,3.6,POINT (13853710.629222894 1087253.1811108377)
PIVS,3000007678,1983.720187,1983,9,20,20,50,22,124.46,9.48,78.0,3.2,POINT (13854823.824130828 1060157.029163421)
ISCBUL,301167243,1985.482545,1985,6,26,3,5,42,124.24,9.41,542.41,5.6,POINT (13830333.53615631 1052257.5760028877)
PIVS,3000009097,1985.805927,1985,10,22,3,55,7,124.0,9.8,33.0,3.8,POINT (13803616.858365921 1096289.5288369576)
ISCBUL,301184437,1986.526542,1986,7,12,4,30,16,124.23,9.28,539.0,5.2,POINT (13829220.341248376 1037591.3965613483)
PIVS,3000009660,1987.324956,1987,4,29,14,36,39,124.0,9.8,42.0,4.9,POINT (13803616.858365921 1096289.5288369576)
ISCGEM,2000001226,1990.104938,1990,2,8,7,15,32,124.72,9.82,25.0,6.7,POINT (13883766.89173708 1098548.9556046324)
PIVS,3000010551,1990.117701,1990,2,12,23,3,28,123.88,9.63,51.0,4.2,POINT (13790258.51947073 1077089.8720128716)
PIVS,3000010665,1990.360357,1990,5,12,12,43,41,124.08,9.53,63.0,4.2,POINT (13812522.417629384 1065800.4817516236)
PIVS,3000011172,1990.69349,1990,9,11,2,58,29,124.13,9.7,136.0,4.1,POINT (13818088.392169047 1084994.4325576928)
PIVS,3000011223,1990.737157,1990,9,27,1,29,41,123.63,9.57,34.0,4.5,POINT (13762428.64677241 1070315.8389345126)
PIVS,3000011588,1991.202886,1991,3,16,1,16,51,123.75,9.63,30.0,4.2,POINT (13775786.985667605 1077089.8720128716)
PIVS,3000012233,1991.844637,1991,11,5,7,1,5,123.83,9.44,19.0,5.2,POINT (13784692.544931067 1055642.859373037)
ISCBUL,301233755,1992.376245,1992,5,18,1,57,55,124.08,10.18,242.0,4.9,POINT (13812522.417629384 1139242.26511917)
PIVS,3000012609,1992.523848,1992,7,11,6,3,0,124.14,9.64,75.0,4.2,POINT (13819201.587076982 1078218.9943446268)
PIVS,3000012767,1992.804499,1992,10,22,6,1,38,124.0,9.57,64.0,4.2,POINT (13803616.858365921 1070315.8389345126)
PIVS,3000012972,1993.400682,1993,5,27,5,58,42,124.1,9.43,28.0,5.0,POINT (13814748.807445249 1054514.3988841483)
ISCBUL,301247684,1993.875738,1993,11,16,15,27,57,124.2,9.2,551.0,5.0,POINT (13825880.756524578 1028568.7625034255)
PIVS,3000013611,1994.801346,1994,10,20,11,47,23,123.91,9.6,77.0,4.1,POINT (13793598.104194527 1073702.705496413)
PIVS,3000014318,1995.467462,1995,6,20,14,58,13,124.44,9.66,4.0,5.0,POINT (13852597.434314962 1080477.3394657986)
ISCBUL,301313364,1995.503376,1995,7,3,17,34,34,124.59,10.25,33.0,4.6,POINT (13869295.357933955 1147160.1344465264)
ISCBUL,301346713,1996.301351,1996,4,20,14,17,49,124.24,9.36,548.82,5.2,POINT (13830333.53615631 1046616.0893372612)
ISCBUL,301346938,1996.39491,1996,5,24,22,22,11,124.65,9.68,320.0,4.6,POINT (13875974.52738155 1082735.8187730978)
PIVS,3000014791,1996.402295,1996,5,27,15,24,43,124.1,9.98,3.0,5.8,POINT (13814748.807445249 1116629.3089155625)
PIVS,3000015081,1996.651748,1996,8,27,4,35,40,124.78,9.7,4.0,4.2,POINT (13890446.061184676 1084994.4325576928)
ISCBUL,301349944,1996.836358,1996,11,2,22,38,26,123.76,9.53,35.0,4.7,POINT (13776900.180575538 1065800.4817516236)
PIVS,3000015853,1997.056461,1997,1,21,14,35,48,124.71,9.75,1.0,4.3,POINT (13882653.696829148 1090641.5572689108)
PIVS,3000015891,1997.095947,1997,2,5,0,29,47,124.25,9.43,12.0,4.1,POINT (13831446.731064241 1054514.3988841483)
PIVS,3000016564,1997.754514,1997,10,3,9,32,25,123.97,10.03,6.0,4.8,POINT (13800277.273642125 1122281.2347648616)
PIVS,3000016718,1997.945078,1997,12,11,22,52,59,124.45,9.75,29.0,4.2,POINT (13853710.629222894 1090641.5572689108)
PIVS,3000017116,1998.401369,1998,5,27,11,59,31,123.95,10.02,3.0,4.8,POINT (13798050.88382626 1121150.7799480155)
ISCBUL,301460205,1998.487334,1998,6,27,21,2,43,124.23,9.29,542.64,5.5,POINT (13829220.341248376 1038719.3701921438)
PIVS,3000017405,1998.718405,1998,9,20,5,13,54,124.72,9.67,4.0,4.5,POINT (13883766.89173708 1081606.5623279861)
ISCBUL,1907528,1998.757991,1998,10,4,16,0,11,124.13,10.07,3.0,4.3,POINT (13818088.392169047 1126803.4033648113)
PIVS,3000017742,1999.13878,1999,2,20,15,42,36,124.6,9.71,3.0,5.0,POINT (13870408.552841885 1086123.78996999)
ISCBUL,2340192,1999.891291,1999,11,22,7,42,28,124.47,9.52,0.0,4.4,POINT (13855937.019038761 1064671.7252314577)
ISCBUL,301603296,2001.034674,2001,1,13,15,44,25,124.83,9.79,35.0,5.3,POINT (13896012.03572434 1095159.8665561378)
ISCBUL,3454920,2001.403702,2001,5,28,8,26,2,124.44,9.69,16.0,4.6,POINT (13852597.434314962 1083865.108837532)
ISCBUL,3455407,2001.578313,2001,7,31,2,1,13,124.28,9.33,33.0,4.3,POINT (13834786.31578804 1043231.5871137592)
ISCBUL,3456163,2001.82527,2001,10,29,5,21,41,124.78,9.66,22.0,4.7,POINT (13890446.061184676 1080477.3394657986)
ISCBUL,3352737,2001.949439,2001,12,13,13,5,0,124.19,9.59,0.0,4.3,POINT (13824767.561616646 1072573.7166959725)
ISCBUL,4282703,2002.034147,2002,1,13,11,7,27,124.27,10.01,6.0,5.1,POINT (13833673.120880106 1120020.3599912424)
ISCBUL,4284000,2002.526952,2002,7,12,8,5,47,124.67,9.72,16.0,4.8,POINT (13878200.917197416 1087253.1811108377)
ISCBUL,4286012,2003.478251,2003,6,24,13,28,44,124.44,9.62,2.0,4.8,POINT (13852597.434314962 1075960.783118498)
ISCBUL,301625786,2003.776001,2003,10,11,5,45,56,124.15,9.37,539.0,4.4,POINT (13820314.781984914 1047744.321611104)
PIVS,3000021761,2004.382226,2004,5,20,6,38,32,123.98,10.01,5.0,5.6,POINT (13801390.468550056 1120020.3599912424)
PIVS,3000021856,2004.497784,2004,7,1,16,29,1,124.67,9.83,22.0,5.2,POINT (13878200.917197416 1099678.7201644292)
PIVS,3000022615,2005.245254,2005,3,31,12,25,31,124.27,9.67,12.0,5.2,POINT (13833673.120880106 1081606.5623279861)
ISCBUL,7419863,2005.787897,2005,10,15,13,58,28,124.69,9.69,19.0,4.7,POINT (13880427.307013283 1083865.108837532)
ISCBUL,301778267,2005.974238,2005,12,22,14,19,30,124.14,9.25,511.17,4.8,POINT (13819201.587076982 1034207.6685288516)
ISCBUL,8181535,2006.404861,2006,5,28,18,34,58,124.81,9.75,22.0,5.3,POINT (13893785.645908473 1090641.5572689108)
ISCBUL,8181633,2006.421044,2006,6,3,16,20,44,124.65,10.16,106.0,4.6,POINT (13875974.52738155 1136980.3363054874)
ISCBUL,8183621,2006.762226,2006,10,6,5,5,44,123.94,9.28,26.0,4.7,POINT (13796937.688918326 1037591.3965613483)
