Agency,eventID,date,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,geometry
BAU,1000000348,1890.100457,1890,2,6,15,59,59,124.85,11.35,23.0,6.4,POINT (13898238.425540205 1271821.6907124252)
ISCGEM,2000000087,1926.904717,1926,11,27,5,19,27,124.81,11.42,15.0,6.3,POINT (13893785.645908473 1279770.4645072995)
PIVS,3000000112,1935.399779,1935,5,26,22,3,46,125.5,11.7,33.0,6.3,POINT (13970596.094555834 1311585.307225945)
PIVS,3000000147,1942.562372,1942,7,25,6,22,38,125.1,11.8,90.0,6.8,POINT (13926068.298238523 1322955.5151757807)
ISCGEM,2000000337,1951.84237,1951,11,4,11,9,46,125.63,11.79,25.0,6.3,POINT (13985067.628358958 1321818.3084077372)
PIVS,3000000333,1964.174851,1964,3,5,4,5,8,125.4,11.7,106.0,5.2,POINT (13959464.145476507 1311585.307225945)
PIVS,3000000661,1968.246906,1968,3,31,14,45,8,125.32,11.42,73.0,5.4,POINT (13950558.586213043 1279770.4645072995)
ISCBUL,300629704,1968.945278,1968,12,12,22,0,22,125.44,11.98,19.88,5.6,POINT (13963916.925108237 1343432.364110052)
ISCBUL,300640016,1969.469248,1969,6,21,6,36,42,125.55,11.24,58.07,5.6,POINT (13976162.069095496 1259334.6934642775)
PIVS,3000001678,1973.442265,1973,6,11,10,14,29,125.8,11.64,20.0,5.5,POINT (14003991.941793816 1304765.15713963)
PIVS,3000001746,1973.726089,1973,9,23,0,32,17,125.09,11.63,99.0,5.4,POINT (13924955.103330592 1303628.608700294)
ISCBUL,300815494,1974.346587,1974,5,7,12,6,16,125.24,11.1,88.11,4.8,POINT (13941653.02694958 1243449.0341084236)
ISCBUL,300824642,1975.136568,1975,2,19,20,20,23,125.15,11.14,17.0,5.4,POINT (13931634.272778187 1247987.012561637)
PIVS,3000002039,1975.270212,1975,4,9,15,3,18,125.6,11.5,33.0,5.7,POINT (13981728.04363516 1288857.1804959085)
ISCBUL,300879675,1975.638085,1975,8,21,21,37,31,125.09,11.64,100.0,5.1,POINT (13924955.103330592 1304765.15713963)
ISCBUL,300877128,1977.643296,1977,8,23,19,16,36,125.21,11.19,17.0,5.6,POINT (13938313.442225784 1253660.3632640482)
ISCGEM,2000000767,1977.904376,1977,11,27,2,19,52,125.68,11.83,27.1,6.0,POINT (13990633.602898624 1326367.3844229558)
PIVS,3000004341,1980.322721,1980,4,28,10,31,34,124.89,11.66,169.0,3.4,POINT (13902691.205171935 1307038.376646629)
PIVS,3000004448,1980.442141,1980,6,11,6,22,25,124.96,11.77,3.0,3.0,POINT (13910483.569527464 1319544.0191171875)
ISCGEM,2000000861,1980.817536,1980,10,27,0,51,34,125.54,11.73,33.8,6.4,POINT (13975048.874187564 1314995.9364641097)
ISCBUL,301039016,1981.506717,1981,7,4,22,50,25,125.29,11.11,113.29,5.2,POINT (13947219.001489248 1244583.4703616202)
