Agency,eventID,date,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,geometry
BAU,1000000001,1608.920765,1608,12,3,22,5,54,124.8,11.1,5.0,5.4,POINT (13892672.451000541 1243449.0341084236)
BAU,1000000054,1863.737329,1863,9,27,2,59,59,124.55,11.25,45.0,6.2,POINT (13864842.578302221 1260469.6774541626)
BAU,1000000070,1868.256944,1868,4,4,7,9,59,124.55,11.3,5.0,5.7,POINT (13864842.578302221 1266145.1892046686)
BAU,1000000133,1875.843265,1875,11,4,19,0,0,124.65,11.1,5.0,5.8,POINT (13875974.52738155 1243449.0341084236)
BAU,1000000151,1877.557078,1877,7,23,8,0,0,124.65,11.1,5.0,5.8,POINT (13875974.52738155 1243449.0341084236)
BAU,1000000348,1890.100457,1890,2,6,15,59,59,124.85,11.35,23.0,6.4,POINT (13898238.425540205 1271821.6907124252)
ISCGEM,2000000063,1924.373047,1924,5,16,21,48,8,124.92,11.03,15.0,6.0,POINT (13906030.789895736 1235509.0659041181)
PIVS,3000000152,1947.432283,1947,6,7,18,47,47,124.7,11.3,33.0,6.9,POINT (13881540.501921214 1266145.1892046686)
PIVS,3000000273,1962.899755,1962,11,25,9,51,26,124.8,11.2,33.0,5.6,POINT (13892672.451000541 1254795.1507951724)
ISCBUL,300790872,1964.057184,1964,1,21,23,40,31,125.23,10.47,15.0,5.4,POINT (13940539.83204165 1172056.3144900282)
PIVS,3000000347,1964.44717,1964,6,13,2,40,19,124.7,11.25,202.0,5.5,POINT (13881540.501921214 1260469.6774541626)
ISCBUL,300631513,1967.977311,1967,12,23,17,14,30,125.31,10.95,80.06,5.6,POINT (13949445.391305113 1226437.1308461332)
ISCBUL,300698851,1970.225958,1970,3,24,11,23,32,124.81,11.01,17.0,5.4,POINT (13893785.645908473 1233240.8513768238)
PIVS,3000001748,1973.727446,1973,9,23,12,25,52,125.29,10.35,39.0,5.9,POINT (13947219.001489248 1158474.4142214733)
ISCBUL,300815494,1974.346587,1974,5,7,12,6,16,125.24,11.1,88.11,4.8,POINT (13941653.02694958 1243449.0341084236)
