Agency,eventID,date,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,geometry
ISCGEM,2000000063,1924.373047,1924,5,16,21,48,8,124.92,11.03,15.0,6.0,POINT (13906030.789895736 1235509.0659041181)
PIVS,3000000051,1929.722706,1929,9,21,18,54,22,125.0,10.0,300.0,6.1,POINT (13914936.349159198 1118889.9748579594)
ISCGEM,2000000225,1936.935611,1936,12,9,8,51,42,125.36,10.23,15.0,5.8,POINT (13955011.365844777 1144897.7081028307)
PIVS,3000000154,1948.672083,1948,9,3,15,42,38,125.5,10.1,33.0,7.0,POINT (13970596.094555834 1130195.3976388918)
PIVS,3000000292,1963.237352,1963,3,28,15,11,58,125.3,10.1,33.0,4.8,POINT (13948332.196397178 1130195.3976388918)
ISCBUL,300790872,1964.057184,1964,1,21,23,40,31,125.23,10.47,15.0,5.4,POINT (13940539.83204165 1172056.3144900282)
ISCBUL,300698851,1970.225958,1970,3,24,11,23,32,124.81,11.01,17.0,5.4,POINT (13893785.645908473 1233240.8513768238)
ISCBUL,300820729,1970.527089,1970,7,12,9,18,6,125.43,10.78,78.95,5.9,POINT (13962803.730200306 1207167.3812224693)
PIVS,3000001245,1971.374989,1971,5,17,20,54,10,125.41,10.02,151.0,5.2,POINT (13960577.340384439 1121150.7799480155)
PIVS,3000001748,1973.727446,1973,9,23,12,25,52,125.29,10.35,39.0,5.9,POINT (13947219.001489248 1158474.4142214733)
ISCGEM,2000000757,1977.951689,1977,12,14,8,47,52,125.3,10.07,220.0,5.8,POINT (13948332.196397178 1126803.4033648113)
ISCBUL,300907440,1979.061303,1979,1,23,9,1,0,125.33,9.93,150.0,5.1,POINT (13951671.781120975 1110978.2509109431)
PIVS,3000003682,1979.495445,1979,6,30,20,5,46,125.45,10.64,33.0,4.0,POINT (13965030.12001617 1191306.3552586213)
PIVS,3000004010,1979.991107,1979,12,28,18,5,42,125.18,9.83,289.0,4.4,POINT (13934973.857501986 1099678.7201644292)
PIVS,3000004101,1980.056138,1980,1,21,14,27,52,125.15,10.95,50.0,3.7,POINT (13931634.272778187 1226437.1308461332)
ISCBUL,301026391,1980.77542,1980,10,11,13,53,50,125.04,10.69,28.31,5.4,POINT (13919389.128790928 1196970.1664899823)
PIVS,3000004814,1980.820029,1980,10,27,22,49,7,125.27,9.83,50.0,3.3,POINT (13944992.61167338 1099678.7201644292)
ISCGEM,2000000874,1981.504411,1981,7,4,2,38,16,124.9,10.2,49.5,5.4,POINT (13903804.40007987 1141504.335717432)
ISCBUL,301063596,1981.87027,1981,11,14,15,33,46,125.45,10.16,210.0,5.3,POINT (13965030.12001617 1136980.3363054874)
