Agency,eventID,date,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,geometry
BAU,1000000001,1608.920765,1608,12,3,22,5,54,124.8,11.1,5.0,5.4,POINT (13892672.451000541 1243449.0341084236)
BAU,1000000054,1863.737329,1863,9,27,2,59,59,124.55,11.25,45.0,6.2,POINT (13864842.578302221 1260469.6774541626)
BAU,1000000070,1868.256944,1868,4,4,7,9,59,124.55,11.3,5.0,5.7,POINT (13864842.578302221 1266145.1892046686)
BAU,1000000112,1873.958333,1873,12,16,18,59,59,124.0,11.85,36.0,5.9,POINT (13803616.858365921 1328642.1717503832)
BAU,1000000133,1875.843265,1875,11,4,19,0,0,124.65,11.1,5.0,5.8,POINT (13875974.52738155 1243449.0341084236)
BAU,1000000151,1877.557078,1877,7,23,8,0,0,124.65,11.1,5.0,5.8,POINT (13875974.52738155 1243449.0341084236)
BAU,1000000206,1882.928767,1882,12,5,23,59,59,124.15,11.8,5.0,6.1,POINT (13820314.781984914 1322955.5151757807)
BAU,1000000242,1884.977801,1884,12,24,20,28,1,124.5,11.4,5.0,5.5,POINT (13859276.603762558 1277499.1866471162)
BAU,1000000348,1890.100457,1890,2,6,15,59,59,124.85,11.35,23.0,6.4,POINT (13898238.425540205 1271821.6907124252)
BAU,1000000390,1893.977169,1893,12,23,16,0,0,124.1,12.0,5.0,5.8,POINT (13814748.807445249 1345708.4084091089)
PIVS,3000000011,1915.193471,1915,3,12,14,48,30,124.0,12.0,40.0,7.0,POINT (13803616.858365921 1345708.4084091089)
ISCGEM,2000000063,1924.373047,1924,5,16,21,48,8,124.92,11.03,15.0,6.0,POINT (13906030.789895736 1235509.0659041181)
ISCGEM,2000000087,1926.904717,1926,11,27,5,19,27,124.81,11.42,15.0,6.3,POINT (13893785.645908473 1279770.4645072995)
PIVS,3000000051,1929.722706,1929,9,21,18,54,22,125.0,10.0,300.0,6.1,POINT (13914936.349159198 1118889.9748579594)
ISCGEM,2000000225,1936.935611,1936,12,9,8,51,42,125.36,10.23,15.0,5.8,POINT (13955011.365844777 1144897.7081028307)
