Agency,eventID,date,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,geometry
BAU,1000000051,1863.740753,1863,9,28,8,59,59,123.9,12.2,5.0,5.2,POINT (13792484.909286596 1368478.189751179)
BAU,1000000058,1864.929303,1864,12,7,1,18,11,123.65,12.35,5.0,5.3,POINT (13764655.03658828 1385566.7907796283)
BAU,1000000081,1869.622717,1869,8,16,7,0,0,123.85,12.4,26.0,6.5,POINT (13786918.934746932 1391265.1621495977)
BAU,1000000112,1873.958333,1873,12,16,18,59,59,124.0,11.85,36.0,5.9,POINT (13803616.858365921 1328642.1717503832)
BAU,1000000142,1875.416438,1875,6,2,0,0,0,123.5,12.3,50.0,5.6,POINT (13747957.112969287 1379869.5080911645)
BAU,1000000206,1882.928767,1882,12,5,23,59,59,124.15,11.8,5.0,6.1,POINT (13820314.781984914 1322955.5151757807)
BAU,1000000390,1893.977169,1893,12,23,16,0,0,124.1,12.0,5.0,5.8,POINT (13814748.807445249 1345708.4084091089)
BAU,1000000412,1904.318989,1904,4,27,1,39,20,124.1,12.1,5.0,5.6,POINT (13814748.807445249 1357091.1691579984)
PIVS,3000000011,1915.193471,1915,3,12,14,48,30,124.0,12.0,40.0,7.0,POINT (13803616.858365921 1345708.4084091089)
PIVS,3000000061,1931.52794,1931,7,12,16,45,23,123.8,12.4,33.0,6.5,POINT (13781352.960207269 1391265.1621495977)
ISCGEM,2000000254,1938.659289,1938,8,29,15,22,23,124.13,12.04,15.0,6.8,POINT (13818088.392169047 1350261.003950255)
PIVS,3000000306,1963.462927,1963,6,18,23,14,27,123.8,12.6,33.0,5.0,POINT (13781352.960207269 1414069.6296580832)
ISCGEM,2000000547,1970.867383,1970,11,13,14,16,22,123.86,12.08,13.5,6.6,POINT (13788032.129654866 1354814.2774323486)
PIVS,3000002259,1975.863084,1975,11,12,0,36,55,124.19,11.96,33.0,4.0,POINT (13824767.561616646 1341156.4883888415)
PIVS,3000002321,1975.898526,1975,11,24,23,5,18,123.69,11.88,33.0,3.9,POINT (13769107.816220006 1332054.6652393385)
PIVS,3000002388,1976.072173,1976,1,27,11,42,1,123.87,11.62,33.0,4.0,POINT (13789145.324562797 1302492.101086989)
ISCGEM,2000000755,1977.852487,1977,11,8,3,47,21,124.07,12.38,35.0,5.7,POINT (13811409.22272145 1388985.6826554562)
PIVS,3000002954,1978.007437,1978,1,3,17,8,58,124.4,11.7,50.0,3.5,POINT (13848144.654683232 1311585.307225945)
PIVS,3000003343,1978.71004,1978,9,17,3,57,15,124.1,11.44,12.0,3.0,POINT (13814748.807445249 1282041.9025228235)
PIVS,3000003888,1979.86003,1979,11,10,21,51,35,124.0,11.44,33.0,3.1,POINT (13803616.858365921 1282041.9025228235)
PIVS,3000004026,1980.006791,1980,1,3,11,49,3,124.39,12.16,7.0,3.9,POINT (13847031.459775299 1363922.8679083725)
PIVS,3000004327,1980.300703,1980,4,20,8,35,26,124.47,11.75,33.0,3.7,POINT (13855937.019038761 1317269.89523635)
PIVS,3000004567,1980.493079,1980,6,29,23,2,39,124.22,11.86,33.0,3.5,POINT (13828107.146340443 1329779.6278759574)
PIVS,3000004722,1980.656243,1980,8,28,20,11,24,123.73,12.48,50.0,3.0,POINT (13773560.59585174 1400384.832675118)
PIVS,3000004901,1980.951539,1980,12,15,5,9,22,124.02,12.03,68.0,3.0,POINT (13805843.248181788 1349122.791602568)
PIVS,3000005206,1981.417802,1981,6,2,11,56,35,124.04,11.49,36.0,3.8,POINT (13808069.637997655 1287721.200206286)
PIVS,3000005412,1981.716158,1981,9,19,9,32,25,124.08,12.51,33.0,3.2,POINT (13812522.417629384 1403805.43477325)
PIVS,3000005825,1982.189991,1982,3,11,8,19,30,123.62,12.2,33.0,3.6,POINT (13761315.451864477 1368478.189751179)
PIVS,3000005918,1982.311508,1982,4,24,16,48,33,124.21,11.59,166.0,3.4,POINT (13826993.951432507 1299082.8228277883)
ISCBUL,301078608,1982.773199,1982,10,10,5,13,32,123.94,12.1,13.0,5.3,POINT (13796937.688918326 1357091.1691579984)
PIVS,3000007093,1983.348273,1983,5,8,2,52,11,124.0,11.68,41.0,3.0,POINT (13803616.858365921 1309311.759908521)
ISCGEM,2000000988,1984.064705,1984,1,24,17,55,32,123.83,12.38,14.1,5.8,POINT (13784692.544931067 1388985.6826554562)
ISCBUL,301160430,1984.400872,1984,5,27,2,52,34,124.31,12.22,10.0,4.9,POINT (13838125.900511838 1370756.1083853391)
PIVS,3000008367,1984.470522,1984,6,21,16,21,28,123.89,11.64,41.0,3.5,POINT (13791371.714378662 1304765.15713963)
PIVS,3000008412,1984.544143,1984,7,18,16,48,55,124.34,11.7,33.0,3.4,POINT (13841465.485235635 1311585.307225945)
PIVS,3000008481,1984.6522,1984,8,27,8,34,46,123.8,11.73,33.0,3.3,POINT (13781352.960207269 1314995.9364641097)
PIVS,3000009169,1985.947992,1985,12,13,0,24,48,124.0,12.0,33.0,4.2,POINT (13803616.858365921 1345708.4084091089)
PIVS,3000009786,1987.68399,1987,9,7,15,45,2,124.0,11.6,52.0,4.0,POINT (13803616.858365921 1300219.208188277)
