Agency,eventID,date,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,geometry
PIVS,3000000141,1941.094755,1941,2,4,14,3,18,124.5,10.0,33.0,6.9,POINT (13859276.603762558 1118889.9748579594)
PIVS,3000000188,1956.070077,1956,1,26,17,14,31,124.0,10.0,33.0,5.4,POINT (13803616.858365921 1118889.9748579594)
ISCBUL,300796410,1965.345165,1965,5,6,23,38,39,124.1,9.59,539.0,5.3,POINT (13814748.807445249 1072573.7166959725)
ISCBUL,300833820,1974.361894,1974,5,13,2,11,32,124.08,10.05,596.98,5.6,POINT (13812522.417629384 1124542.2491251284)
PIVS,3000002508,1976.546898,1976,7,19,17,4,42,124.05,9.44,33.0,4.2,POINT (13809182.832905585 1055642.859373037)
PIVS,3000002850,1977.724187,1977,9,22,7,52,48,124.17,10.39,33.0,3.3,POINT (13822541.171800781 1163001.134045003)
ISCGEM,2000000890,1981.675257,1981,9,4,11,15,13,123.92,9.99,635.0,6.6,POINT (13794711.299102461 1117759.6245115898)
PIVS,3000006286,1982.727657,1982,9,23,14,16,28,124.34,9.6,280.0,3.6,POINT (13841465.485235635 1073702.705496413)
PIVS,3000007060,1983.322109,1983,4,28,13,40,45,124.45,9.72,63.0,3.6,POINT (13853710.629222894 1087253.1811108377)
PIVS,3000008706,1984.963645,1984,12,19,15,47,11,123.52,9.56,33.0,3.8,POINT (13750183.502785152 1069186.9499007957)
PIVS,3000009097,1985.805927,1985,10,22,3,55,7,124.0,9.8,33.0,3.8,POINT (13803616.858365921 1096289.5288369576)
PIVS,3000009098,1985.807097,1985,10,22,14,10,2,124.3,10.4,77.0,4.0,POINT (13837012.705603905 1164132.9044527772)
PIVS,3000009660,1987.324956,1987,4,29,14,36,39,124.0,9.8,42.0,4.9,POINT (13803616.858365921 1096289.5288369576)
PIVS,3000009680,1987.374174,1987,5,17,13,45,40,123.6,10.0,33.0,4.4,POINT (13759089.062048612 1118889.9748579594)
PIVS,3000010551,1990.117701,1990,2,12,23,3,28,123.88,9.63,51.0,4.2,POINT (13790258.51947073 1077089.8720128716)
