Agency,eventID,date,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,geometry
PIVS,3000000141,1941.094755,1941,2,4,14,3,18,124.5,10.0,33.0,6.9,POINT (13859276.603762558 1118889.9748579594)
PIVS,3000000188,1956.070077,1956,1,26,17,14,31,124.0,10.0,33.0,5.4,POINT (13803616.858365921 1118889.9748579594)
ISCBUL,300796410,1965.345165,1965,5,6,23,38,39,124.1,9.59,539.0,5.3,POINT (13814748.807445249 1072573.7166959725)
ISCBUL,300833820,1974.361894,1974,5,13,2,11,32,124.08,10.05,596.98,5.6,POINT (13812522.417629384 1124542.2491251284)
PIVS,3000001939,1974.843348,1974,11,4,19,43,34,123.2,9.97,59.0,4.5,POINT (13714561.265731303 1115499.0280333112)
PIVS,3000002508,1976.546898,1976,7,19,17,4,42,124.05,9.44,33.0,4.2,POINT (13809182.832905585 1055642.859373037)
PIVS,3000002850,1977.724187,1977,9,22,7,52,48,124.17,10.39,33.0,3.3,POINT (13822541.171800781 1163001.134045003)
PIVS,3000003998,1979.978557,1979,12,24,4,9,26,123.29,9.35,50.0,3.6,POINT (13724580.0199027 1045487.8895205767)
PIVS,3000004284,1980.268831,1980,4,8,15,51,53,123.25,9.64,33.0,3.6,POINT (13720127.240270967 1078218.9943446268)
ISCGEM,2000000890,1981.675257,1981,9,4,11,15,13,123.92,9.99,635.0,6.6,POINT (13794711.299102461 1117759.6245115898)
PIVS,3000006286,1982.727657,1982,9,23,14,16,28,124.34,9.6,280.0,3.6,POINT (13841465.485235635 1073702.705496413)
PIVS,3000006857,1983.190582,1983,3,11,13,30,3,123.32,10.06,33.0,3.6,POINT (13727919.604626495 1125672.8087417413)
PIVS,3000007060,1983.322109,1983,4,28,13,40,45,124.45,9.72,63.0,3.6,POINT (13853710.629222894 1087253.1811108377)
PIVS,3000007113,1983.364665,1983,5,14,2,28,2,123.45,9.34,33.0,3.5,POINT (13742391.138429623 1044359.7221248184)
PIVS,3000008706,1984.963645,1984,12,19,15,47,11,123.52,9.56,33.0,3.8,POINT (13750183.502785152 1069186.9499007957)
