Agency,eventID,date,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,geometry
PIVS,3000000038,1926.82897,1926,10,30,13,46,33,124.5,9.5,520.0,6.3,POINT (13859276.603762558 1062414.3112675361)
PIVS,3000000051,1929.722706,1929,9,21,18,54,22,125.0,10.0,300.0,6.1,POINT (13914936.349159198 1118889.9748579594)
ISCGEM,2000000221,1936.314732,1936,4,25,12,9,36,124.71,9.66,25.0,5.6,POINT (13882653.696829148 1080477.3394657986)
PIVS,3000000141,1941.094755,1941,2,4,14,3,18,124.5,10.0,33.0,6.9,POINT (13859276.603762558 1118889.9748579594)
ISCBUL,300796410,1965.345165,1965,5,6,23,38,39,124.1,9.59,539.0,5.3,POINT (13814748.807445249 1072573.7166959725)
ISCGEM,2000000635,1973.720174,1973,9,20,20,43,40,123.97,9.18,556.7,6.5,POINT (13800277.273642125 1026313.4234927299)
PIVS,3000002508,1976.546898,1976,7,19,17,4,42,124.05,9.44,33.0,4.2,POINT (13809182.832905585 1055642.859373037)
PIVS,3000002869,1977.785166,1977,10,14,14,3,27,124.99,9.48,33.0,3.3,POINT (13913823.154251263 1060157.029163421)
PIVS,3000002965,1978.041224,1978,1,16,1,7,25,124.81,9.68,33.0,4.0,POINT (13893785.645908473 1082735.8187730978)
ISCBUL,300885800,1978.150875,1978,2,25,1,39,55,123.96,9.08,551.0,5.0,POINT (13799164.078734191 1015038.6310033455)
PIVS,3000003487,1978.897737,1978,11,24,16,10,29,123.59,9.24,33.0,3.0,POINT (13757975.86714068 1033079.823350694)
ISCBUL,300907440,1979.061303,1979,1,23,9,1,0,125.33,9.93,150.0,5.1,POINT (13951671.781120975 1110978.2509109431)
PIVS,3000003803,1979.694676,1979,9,11,13,21,30,124.84,9.44,33.0,3.5,POINT (13897125.230632272 1055642.859373037)
PIVS,3000003806,1979.695976,1979,9,12,0,44,56,124.37,9.17,50.0,3.2,POINT (13844805.069959434 1025185.8017140821)
PIVS,3000003998,1979.978557,1979,12,24,4,9,26,123.29,9.35,50.0,3.6,POINT (13724580.0199027 1045487.8895205767)
PIVS,3000004010,1979.991107,1979,12,28,18,5,42,125.18,9.83,289.0,4.4,POINT (13934973.857501986 1099678.7201644292)
PIVS,3000004272,1980.254338,1980,4,3,8,12,27,123.66,8.86,50.0,3.5,POINT (13765768.23149621 990245.1052432181)
PIVS,3000004355,1980.33397,1980,5,2,13,36,18,125.12,9.67,33.0,3.0,POINT (13928294.688054388 1081606.5623279861)
PIVS,3000004814,1980.820029,1980,10,27,22,49,7,125.27,9.83,50.0,3.3,POINT (13944992.61167338 1099678.7201644292)
PIVS,3000004883,1980.933688,1980,12,8,15,55,33,123.29,8.96,50.0,3.3,POINT (13724580.0199027 1001513.0275283477)
PIVS,3000004889,1980.93659,1980,12,9,17,29,11,123.62,9.22,58.0,3.3,POINT (13761315.451864477 1030824.229026323)
PIVS,3000005037,1981.14531,1981,2,23,0,54,45,124.57,9.21,50.0,3.4,POINT (13867068.968118086 1029696.4798077717)
PIVS,3000005054,1981.175553,1981,3,6,1,50,52,123.4,9.11,106.0,3.3,POINT (13736825.16388996 1018420.7369393924)
PIVS,3000005093,1981.216073,1981,3,20,20,47,48,124.56,9.67,33.0,3.2,POINT (13865955.773210157 1081606.5623279861)
ISCGEM,2000000874,1981.504411,1981,7,4,2,38,16,124.9,10.2,49.5,5.4,POINT (13903804.40007987 1141504.335717432)
PIVS,3000005427,1981.740659,1981,9,28,8,10,20,125.08,9.63,33.0,3.4,POINT (13923841.908422658 1077089.8720128716)
