Agency,eventID,date,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,geometry
BAU,1000000085,1870.114498,1870,2,11,18,59,59,124.6,12.45,5.0,5.3,POINT (13870408.552841885 1396964.62695844)
BAU,1000000390,1893.977169,1893,12,23,16,0,0,124.1,12.0,5.0,5.8,POINT (13814748.807445249 1345708.4084091089)
BAU,1000000412,1904.318989,1904,4,27,1,39,20,124.1,12.1,5.0,5.6,POINT (13814748.807445249 1357091.1691579984)
PIVS,3000000073,1932.525542,1932,7,11,20,58,17,124.5,12.5,33.0,5.8,POINT (13859276.603762558 1402665.1899679275)
ISCGEM,2000000220,1935.392421,1935,5,24,5,36,40,124.94,12.09,45.0,6.8,POINT (13908257.179711599 1355952.7020149126)
ISCGEM,2000000254,1938.659289,1938,8,29,15,22,23,124.13,12.04,15.0,6.8,POINT (13818088.392169047 1350261.003950255)
PIVS,3000000204,1957.628381,1957,8,18,8,36,58,124.5,12.1,21.0,6.5,POINT (13859276.603762558 1357091.1691579984)
ISCGEM,2000000530,1970.409735,1970,5,30,13,16,29,124.59,12.23,106.5,5.8,POINT (13869295.357933955 1371895.1322633934)
PIVS,3000002259,1975.863084,1975,11,12,0,36,55,124.19,11.96,33.0,4.0,POINT (13824767.561616646 1341156.4883888415)
PIVS,3000002316,1975.892451,1975,11,22,17,52,29,124.43,12.26,191.0,4.1,POINT (13851484.239407033 1375312.462596925)
ISCGEM,2000000755,1977.852487,1977,11,8,3,47,21,124.07,12.38,35.0,5.7,POINT (13811409.22272145 1388985.6826554562)
PIVS,3000003720,1979.547102,1979,7,19,16,36,37,124.76,11.95,41.0,3.8,POINT (13888219.671368811 1340018.6136504756)
PIVS,3000004026,1980.006791,1980,1,3,11,49,3,124.39,12.16,7.0,3.9,POINT (13847031.459775299 1363922.8679083725)
PIVS,3000004327,1980.300703,1980,4,20,8,35,26,124.47,11.75,33.0,3.7,POINT (13855937.019038761 1317269.89523635)
PIVS,3000004567,1980.493079,1980,6,29,23,2,39,124.22,11.86,33.0,3.5,POINT (13828107.146340443 1329779.6278759574)
PIVS,3000004739,1980.694413,1980,9,11,20,23,9,124.58,11.9,33.0,3.5,POINT (13868182.163026022 1334329.869670457)
PIVS,3000004937,1981.012848,1981,1,5,16,32,38,124.7,12.36,65.0,4.1,POINT (13881540.501921214 1386706.3778069292)
PIVS,3000005412,1981.716158,1981,9,19,9,32,25,124.08,12.51,33.0,3.2,POINT (13812522.417629384 1403805.43477325)
PIVS,3000005546,1981.898496,1981,11,24,22,49,41,124.33,12.63,39.0,4.0,POINT (13840352.290327704 1417491.8275866346)
PIVS,3000005853,1982.202343,1982,3,15,20,31,17,124.79,12.27,33.0,3.0,POINT (13891559.256092608 1376451.6590677854)
PIVS,3000006517,1982.934598,1982,12,8,3,4,45,124.27,12.52,33.0,4.1,POINT (13833673.120880106 1404945.7237353828)
PIVS,3000007065,1983.328224,1983,4,30,19,14,28,124.51,12.71,45.0,3.1,POINT (13860389.798670493 1426619.65460287)
PIVS,3000007284,1983.502163,1983,7,3,6,56,59,124.7,12.57,60.0,4.0,POINT (13881540.501921214 1410647.8322339843)
ISCBUL,301160430,1984.400872,1984,5,27,2,52,34,124.31,12.22,10.0,4.9,POINT (13838125.900511838 1370756.1083853391)
ISCBUL,301161002,1984.551113,1984,7,21,6,12,11,124.88,12.27,74.42,5.4,POINT (13901578.010264002 1376451.6590677854)
PIVS,3000009432,1986.792649,1986,10,17,7,36,28,124.6,11.8,33.0,4.7,POINT (13870408.552841885 1322955.5151757807)
ISCGEM,2000001124,1988.877838,1988,11,18,3,59,52,124.56,12.41,17.1,6.6,POINT (13865955.773210157 1392404.967483943)
ISCBUL,301274891,1991.408931,1991,5,30,6,14,8,124.87,12.14,100.0,4.9,POINT (13900464.815356072 1361645.4640929557)
PIVS,3000012267,1991.887622,1991,11,20,23,34,3,124.63,12.38,12.0,5.1,POINT (13873748.137565685 1388985.6826554562)
PIVS,3000012438,1992.171484,1992,3,3,22,25,45,124.24,12.29,25.0,4.1,POINT (13830333.53615631 1378730.1817769124)
PIVS,3000012848,1993.046376,1993,1,17,22,15,19,124.74,12.36,43.0,4.8,POINT (13885993.281552944 1386706.3778069292)
PIVS,3000012849,1993.048851,1993,1,18,19,56,1,124.41,11.74,130.0,5.4,POINT (13849257.849591164 1316132.8952304705)
PIVS,3000013082,1993.684821,1993,9,7,23,1,58,124.29,12.2,22.0,4.9,POINT (13835899.510695972 1368478.189751179)
PIVS,3000013182,1993.928684,1993,12,5,23,16,29,124.8,11.88,39.0,5.2,POINT (13892672.451000541 1332054.6652393385)
ISCBUL,301321586,1995.301453,1995,4,21,0,43,55,124.89,11.95,66.0,5.2,POINT (13902691.205171935 1340018.6136504756)
ISCBUL,301416075,1995.302981,1995,4,21,14,6,44,124.72,12.34,82.0,4.7,POINT (13883766.89173708 1384427.2472995736)
PIVS,3000014423,1995.656598,1995,8,28,15,47,43,124.1,12.27,31.0,4.5,POINT (13814748.807445249 1376451.6590677854)
PIVS,3000014595,1996.064987,1996,1,24,20,24,34,124.5,12.3,6.0,4.1,POINT (13859276.603762558 1379869.5080911645)
PIVS,3000014878,1996.45511,1996,6,16,0,36,32,124.58,12.37,17.0,4.7,POINT (13868182.163026022 1387846.008419521)
ISCBUL,1162594,1996.731176,1996,9,25,8,11,48,124.17,12.36,0.0,4.1,POINT (13822541.171800781 1386706.3778069292)
PIVS,3000015709,1996.872756,1996,11,16,7,13,54,124.54,12.31,5.0,5.0,POINT (13863729.383394292 1381008.877762543)
PIVS,3000015772,1996.920181,1996,12,3,16,57,5,124.84,12.1,4.0,4.7,POINT (13897125.230632272 1357091.1691579984)
PIVS,3000016454,1997.625987,1997,8,17,11,38,55,124.5,12.39,5.0,4.1,POINT (13859276.603762558 1390125.4005527932)
ISCBUL,301552168,1998.406334,1998,5,29,7,28,56,124.77,12.02,10.0,4.1,POINT (13889332.866276743 1347984.6215883584)
PIVS,3000017245,1998.538914,1998,7,16,16,53,6,124.2,11.91,22.0,4.3,POINT (13825880.756524578 1335467.5346307282)
ISCBUL,301552752,1998.54647,1998,7,19,11,4,53,124.39,12.59,100.0,4.8,POINT (13847031.459775299 1412928.986067178)
PIVS,3000018148,1999.619258,1999,8,15,0,41,44,124.32,11.91,2.0,5.8,POINT (13839239.09541977 1335467.5346307282)
ISCBUL,1684773,1999.654785,1999,8,27,23,54,50,124.46,12.38,12.0,4.3,POINT (13854823.824130828 1388985.6826554562)
PIVS,3000018171,1999.666682,1999,9,1,8,8,17,124.88,12.29,15.0,4.1,POINT (13901578.010264002 1378730.1817769124)
ISCBUL,2536165,2000.445927,2000,6,12,15,43,45,124.27,12.43,32.0,4.9,POINT (13833673.120880106 1394684.7095175837)
ISCBUL,301569809,2000.829399,2000,10,31,9,20,44,124.69,12.08,150.0,4.5,POINT (13880427.307013283 1354814.2774323486)
ISCBUL,3454323,2001.205838,2001,3,17,3,8,12,124.14,11.99,27.0,4.8,POINT (13819201.587076982 1344570.3651684555)
PIVS,3000020533,2002.706973,2002,9,16,1,4,59,124.71,11.87,21.0,4.5,POINT (13882653.696829148 1330917.1256930395)
PIVS,3000020941,2003.291411,2003,4,17,8,45,22,124.68,12.55,55.0,4.3,POINT (13879314.11210535 1408366.85594426)
ISCBUL,5219178,2003.448022,2003,6,13,12,40,26,124.87,12.18,0.0,4.1,POINT (13900464.815356072 1366200.4430266703)
ISCBUL,6332573,2004.871437,2004,11,15,19,36,50,124.5,11.96,17.0,4.9,POINT (13859276.603762558 1341156.4883888415)
ISCBUL,7416182,2005.184742,2005,3,9,10,20,30,124.43,12.43,23.0,4.8,POINT (13851484.239407033 1394684.7095175837)
ISCBUL,7417197,2005.36458,2005,5,14,1,43,10,124.92,12.05,79.0,4.5,POINT (13906030.789895736 1351399.2586692423)
ISCBUL,8179463,2006.076474,2006,1,28,21,54,47,124.5,12.36,21.0,4.9,POINT (13859276.603762558 1386706.3778069292)
PIVS,3000023363,2006.156783,2006,2,27,5,25,9,124.86,12.07,1.0,5.0,POINT (13899351.620448137 1353675.8953724483)
ISCBUL,8183867,2006.799559,2006,10,19,20,8,20,124.61,12.32,65.0,4.2,POINT (13871521.74774982 1382148.2908290583)
ISCBUL,8458336,2006.828547,2006,10,30,10,4,26,124.45,11.95,0.0,4.0,POINT (13853710.629222894 1340018.6136504756)
ISCBUL,10363137,2007.09121,2007,2,3,7,0,6,124.52,12.71,52.0,4.7,POINT (13861502.993578423 1426619.65460287)
PIVS,3000024904,2007.727436,2007,9,23,12,20,25,124.68,12.27,24.0,4.8,POINT (13879314.11210535 1376451.6590677854)
ISCBUL,10367727,2007.847838,2007,11,6,11,3,27,124.21,12.22,1.0,4.7,POINT (13826993.951432507 1370756.1083853391)
ISCBUL,12156658,2008.103181,2008,2,7,20,48,54,124.93,12.28,30.0,4.7,POINT (13907143.98480367 1377590.898781785)
ISCBUL,12160945,2008.777485,2008,10,12,8,5,14,124.33,12.52,28.0,5.2,POINT (13840352.290327704 1404945.7237353828)
ISCBUL,11048731,2009.041407,2009,1,16,2,43,37,124.63,11.89,0.0,4.3,POINT (13873748.137565685 1333192.24655257)
ISCBUL,17239423,2010.005347,2010,1,2,22,50,26,124.57,12.32,118.0,5.3,POINT (13867068.968118086 1382148.2908290583)
PIVS,3000029264,2010.999963,2010,12,31,23,40,48,124.44,12.27,15.0,5.0,POINT (13852597.434314962 1376451.6590677854)
ISCBUL,601886436,2011.472697,2011,6,22,12,49,31,124.11,12.23,32.0,4.8,POINT (13815862.002353182 1371895.1322633934)
ISCBUL,601886580,2011.49855,2011,7,1,23,18,6,124.48,12.41,32.0,5.1,POINT (13857050.213946696 1392404.967483943)
