Agency,eventID,date,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,geometry
BAU,1000000051,1863.740753,1863,9,28,8,59,59,123.9,12.2,5.0,5.2,POINT (13792484.909286596 1368478.189751179)
BAU,1000000112,1873.958333,1873,12,16,18,59,59,124.0,11.85,36.0,5.9,POINT (13803616.858365921 1328642.1717503832)
BAU,1000000206,1882.928767,1882,12,5,23,59,59,124.15,11.8,5.0,6.1,POINT (13820314.781984914 1322955.5151757807)
BAU,1000000242,1884.977801,1884,12,24,20,28,1,124.5,11.4,5.0,5.5,POINT (13859276.603762558 1277499.1866471162)
BAU,1000000390,1893.977169,1893,12,23,16,0,0,124.1,12.0,5.0,5.8,POINT (13814748.807445249 1345708.4084091089)
BAU,1000000412,1904.318989,1904,4,27,1,39,20,124.1,12.1,5.0,5.6,POINT (13814748.807445249 1357091.1691579984)
PIVS,3000000011,1915.193471,1915,3,12,14,48,30,124.0,12.0,40.0,7.0,POINT (13803616.858365921 1345708.4084091089)
ISCGEM,2000000254,1938.659289,1938,8,29,15,22,23,124.13,12.04,15.0,6.8,POINT (13818088.392169047 1350261.003950255)
ISCGEM,2000000547,1970.867383,1970,11,13,14,16,22,123.86,12.08,13.5,6.6,POINT (13788032.129654866 1354814.2774323486)
PIVS,3000002259,1975.863084,1975,11,12,0,36,55,124.19,11.96,33.0,4.0,POINT (13824767.561616646 1341156.4883888415)
PIVS,3000002321,1975.898526,1975,11,24,23,5,18,123.69,11.88,33.0,3.9,POINT (13769107.816220006 1332054.6652393385)
PIVS,3000002388,1976.072173,1976,1,27,11,42,1,123.87,11.62,33.0,4.0,POINT (13789145.324562797 1302492.101086989)
ISCBUL,300874055,1977.223062,1977,3,23,10,1,11,124.49,11.53,15.0,5.2,POINT (13858163.408854626 1292265.3635449682)
PIVS,3000002954,1978.007437,1978,1,3,17,8,58,124.4,11.7,50.0,3.5,POINT (13848144.654683232 1311585.307225945)
PIVS,3000003343,1978.71004,1978,9,17,3,57,15,124.1,11.44,12.0,3.0,POINT (13814748.807445249 1282041.9025228235)
PIVS,3000003722,1979.548838,1979,7,20,7,49,21,124.0,11.32,64.0,3.0,POINT (13803616.858365921 1268415.6707754876)
PIVS,3000003888,1979.86003,1979,11,10,21,51,35,124.0,11.44,33.0,3.1,POINT (13803616.858365921 1282041.9025228235)
PIVS,3000004026,1980.006791,1980,1,3,11,49,3,124.39,12.16,7.0,3.9,POINT (13847031.459775299 1363922.8679083725)
PIVS,3000004327,1980.300703,1980,4,20,8,35,26,124.47,11.75,33.0,3.7,POINT (13855937.019038761 1317269.89523635)
PIVS,3000004567,1980.493079,1980,6,29,23,2,39,124.22,11.86,33.0,3.5,POINT (13828107.146340443 1329779.6278759574)
PIVS,3000004739,1980.694413,1980,9,11,20,23,9,124.58,11.9,33.0,3.5,POINT (13868182.163026022 1334329.869670457)
PIVS,3000004854,1980.896309,1980,11,24,22,41,8,124.01,11.41,33.0,3.4,POINT (13804730.053273855 1278634.8055764982)
PIVS,3000004901,1980.951539,1980,12,15,5,9,22,124.02,12.03,68.0,3.0,POINT (13805843.248181788 1349122.791602568)
