Agency,eventID,date,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,geometry
BAU,1000000042,1862.727854,1862,9,23,16,0,0,122.95,13.3,5.0,6.1,POINT (13686731.393032987 1494027.456418502)
BAU,1000000051,1863.740753,1863,9,28,8,59,59,123.9,12.2,5.0,5.2,POINT (13792484.909286596 1368478.189751179)
BAU,1000000058,1864.929303,1864,12,7,1,18,11,123.65,12.35,5.0,5.3,POINT (13764655.03658828 1385566.7907796283)
BAU,1000000081,1869.622717,1869,8,16,7,0,0,123.85,12.4,26.0,6.5,POINT (13786918.934746932 1391265.1621495977)
BAU,1000000118,1873.869521,1873,11,14,9,0,0,122.25,13.6,50.0,6.5,POINT (13608807.749477694 1528365.1158970073)
BAU,1000000112,1873.958333,1873,12,16,18,59,59,124.0,11.85,36.0,5.9,POINT (13803616.858365921 1328642.1717503832)
BAU,1000000123,1874.043379,1874,1,16,20,0,0,123.5,12.5,50.0,5.6,POINT (13747957.112969287 1402665.1899679275)
BAU,1000000142,1875.416438,1875,6,2,0,0,0,123.5,12.3,50.0,5.6,POINT (13747957.112969287 1379869.5080911645)
BAU,1000000232,1883.567808,1883,7,27,5,59,59,121.85,13.6,50.0,5.5,POINT (13564279.953160385 1528365.1158970073)
BAU,1000000248,1884.861566,1884,11,12,4,40,39,123.1,13.0,50.0,6.2,POINT (13703429.316651976 1459732.2718804977)
BAU,1000000282,1886.384018,1886,5,21,4,0,0,122.35,13.75,50.0,5.7,POINT (13619939.698557021 1545550.2013330958)
BAU,1000000296,1887.441324,1887,6,11,1,59,59,122.45,13.65,23.0,5.3,POINT (13631071.64763635 1534092.262222213)
BAU,1000000352,1890.335046,1890,5,3,6,59,59,122.0,13.55,50.0,5.5,POINT (13580977.876779376 1522639.1785583608)
BAU,1000000390,1893.977169,1893,12,23,16,0,0,124.1,12.0,5.0,5.8,POINT (13814748.807445249 1345708.4084091089)
BAU,1000000412,1904.318989,1904,4,27,1,39,20,124.1,12.1,5.0,5.6,POINT (13814748.807445249 1357091.1691579984)
ISCGEM,2000000004,1907.897486,1907,11,24,13,58,37,122.54,13.36,15.0,6.6,POINT (13641090.401807744 1500891.5568385427)
PIVS,3000000011,1915.193471,1915,3,12,14,48,30,124.0,12.0,40.0,7.0,POINT (13803616.858365921 1345708.4084091089)
PIVS,3000000016,1919.217584,1919,3,21,10,2,23,123.0,13.0,50.0,6.5,POINT (13692297.36757265 1459732.2718804977)
ISCGEM,2000000127,1929.636695,1929,8,21,9,26,37,122.09,13.78,35.0,5.7,POINT (13590996.630950771 1548988.5357146037)
PIVS,3000000061,1931.52794,1931,7,12,16,45,23,123.8,12.4,33.0,6.5,POINT (13781352.960207269 1391265.1621495977)
PIVS,3000000107,1935.103366,1935,2,7,17,29,1,122.7,13.5,33.0,6.1,POINT (13658901.520334667 1516914.4453372387)
ISCGEM,2000000254,1938.659289,1938,8,29,15,22,23,124.13,12.04,15.0,6.8,POINT (13818088.392169047 1350261.003950255)
ISCGEM,2000000260,1939.395236,1939,5,25,6,16,10,122.95,12.94,15.0,5.8,POINT (13686731.393032987 1452878.2400849042)
PIVS,3000000145,1941.84585,1941,11,5,17,38,43,123.5,12.5,33.0,6.9,POINT (13747957.112969287 1402665.1899679275)
ISCGEM,2000000278,1942.69096,1942,9,10,4,48,41,121.88,13.17,15.0,5.9,POINT (13567619.537884183 1479161.056123242)
ISCGEM,2000000388,1958.19724,1958,3,13,23,49,28,123.09,12.66,25.0,5.8,POINT (13702316.121744044 1420914.4270518373)
PIVS,3000000306,1963.462927,1963,6,18,23,14,27,123.8,12.6,33.0,5.0,POINT (13781352.960207269 1414069.6296580832)
ISCGEM,2000000433,1965.250807,1965,4,2,13,4,1,123.93,12.73,15.0,5.8,POINT (13795824.494010393 1428902.0598046044)
PIVS,3000000494,1966.011311,1966,1,5,3,4,48,123.5,12.5,33.0,4.9,POINT (13747957.112969287 1402665.1899679275)
ISCBUL,300610500,1967.470292,1967,6,21,15,45,26,122.95,12.88,18.75,5.6,POINT (13686731.393032987 1446025.8572386927)
PIVS,3000000752,1968.892035,1968,11,23,9,2,47,122.6,13.2,7.0,5.7,POINT (13647769.571255341 1482591.0604277705)
ISCBUL,300642089,1969.688542,1969,9,9,7,37,35,123.12,12.73,19.0,5.1,POINT (13705655.706467843 1428902.0598046044)
ISCGEM,2000000547,1970.867383,1970,11,13,14,16,22,123.86,12.08,13.5,6.6,POINT (13788032.129654866 1354814.2774323486)
PIVS,3000001273,1971.569011,1971,7,27,16,31,58,123.3,12.32,33.0,5.5,POINT (13725693.21481063 1382148.2908290583)
