Agency,eventID,date,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,geometry
PIVS,3000000112,1935.399779,1935,5,26,22,3,46,125.5,11.7,33.0,6.3,POINT (13970596.094555834 1311585.307225945)
ISCGEM,2000000337,1951.84237,1951,11,4,11,9,46,125.63,11.79,25.0,6.3,POINT (13985067.628358958 1321818.3084077372)
PIVS,3000000333,1964.174851,1964,3,5,4,5,8,125.4,11.7,106.0,5.2,POINT (13959464.145476507 1311585.307225945)
ISCBUL,300791152,1964.174866,1964,3,5,4,13,9,125.98,11.57,30.96,5.6,POINT (14024029.450136604 1296810.1740968921)
ISCBUL,300619982,1967.479116,1967,6,24,21,3,37,125.83,11.51,41.31,5.9,POINT (14007331.526517615 1289993.2011239135)
ISCBUL,300631513,1967.977311,1967,12,23,17,14,30,125.31,10.95,80.06,5.6,POINT (13949445.391305113 1226437.1308461332)
PIVS,3000000661,1968.246906,1968,3,31,14,45,8,125.32,11.42,73.0,5.4,POINT (13950558.586213043 1279770.4645072995)
ISCBUL,300638173,1969.168139,1969,3,3,8,53,49,125.54,10.78,88.15,5.6,POINT (13975048.874187564 1207167.3812224693)
ISCBUL,300640016,1969.469248,1969,6,21,6,36,42,125.55,11.24,58.07,5.6,POINT (13976162.069095496 1259334.6934642775)
ISCBUL,300820729,1970.527089,1970,7,12,9,18,6,125.43,10.78,78.95,5.9,POINT (13962803.730200306 1207167.3812224693)
PIVS,3000001346,1972.260397,1972,4,5,13,34,37,125.62,11.19,137.0,5.5,POINT (13983954.433451025 1253660.3632640482)
PIVS,3000001678,1973.442265,1973,6,11,10,14,29,125.8,11.64,20.0,5.5,POINT (14003991.941793816 1304765.15713963)
ISCBUL,300815494,1974.346587,1974,5,7,12,6,16,125.24,11.1,88.11,4.8,POINT (13941653.02694958 1243449.0341084236)
ISCBUL,300824642,1975.136568,1975,2,19,20,20,23,125.15,11.14,17.0,5.4,POINT (13931634.272778187 1247987.012561637)
PIVS,3000002039,1975.270212,1975,4,9,15,3,18,125.6,11.5,33.0,5.7,POINT (13981728.04363516 1288857.1804959085)
ISCBUL,300877128,1977.643296,1977,8,23,19,16,36,125.21,11.19,17.0,5.6,POINT (13938313.442225784 1253660.3632640482)
ISCBUL,300888001,1978.364922,1978,5,14,4,43,11,125.66,11.24,50.74,5.4,POINT (13988407.213082757 1259334.6934642775)
PIVS,3000003780,1979.661844,1979,8,30,13,45,12,125.95,11.06,33.0,4.0,POINT (14020689.865412807 1238911.6771705302)
PIVS,3000003911,1979.906306,1979,11,27,19,14,15,125.54,10.82,65.0,3.6,POINT (13975048.874187564 1211700.4541351388)
PIVS,3000004101,1980.056138,1980,1,21,14,27,52,125.15,10.95,50.0,3.7,POINT (13931634.272778187 1226437.1308461332)
PIVS,3000004229,1980.210583,1980,3,18,6,49,8,125.45,11.05,250.0,3.6,POINT (13965030.12001617 1237777.4347687596)
ISCGEM,2000000861,1980.817536,1980,10,27,0,51,34,125.54,11.73,33.8,6.4,POINT (13975048.874187564 1314995.9364641097)
ISCBUL,301039016,1981.506717,1981,7,4,22,50,25,125.29,11.11,113.29,5.2,POINT (13947219.001489248 1244583.4703616202)
PIVS,3000005958,1982.347847,1982,5,7,23,8,10,125.5,11.16,33.0,3.5,POINT (13970596.094555834 1250256.2356010065)
PIVS,3000007279,1983.499749,1983,7,2,9,47,52,125.72,11.33,60.0,3.3,POINT (13995086.382530352 1269550.9710396812)
PIVS,3000007495,1983.624672,1983,8,17,0,7,51,125.58,10.84,33.0,3.3,POINT (13979501.653819295 1213967.217273558)
PIVS,3000007812,1983.828258,1983,10,30,7,32,23,125.61,10.88,33.0,3.1,POINT (13982841.238543093 1218501.198396638)
PIVS,3000007984,1983.990893,1983,12,28,16,13,21,125.65,10.68,30.0,3.3,POINT (13987294.018174823 1195837.329743653)
PIVS,3000008120,1984.181861,1984,3,7,17,49,51,125.7,11.11,33.0,3.3,POINT (13992859.992714487 1244583.4703616202)
PIVS,3000008201,1984.284589,1984,4,14,10,39,46,125.67,11.24,37.0,3.1,POINT (13989520.407990688 1259334.6934642775)
PIVS,3000008444,1984.593192,1984,8,5,16,50,17,125.41,11.13,94.0,3.4,POINT (13960577.340384439 1246852.4595509986)
